Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | entity: Golang - none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。 

Grascals Grascals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 4533 | align_1: 6-8 | align_2: 6-13 | entity: Grascals - none |    Life Finds A Way – The Grascals ||| 《 Life Finds a Way 》 － The Grascals （ 英语 ： The Grascals ） 

Almighty 正如马利亚 | w_freq: 117 - 1 | wiki_freq: 2790 - 0 | sentence_idx: 4781 | align_1: 9-20 | align_2: 10-24 | entity: Allah Almighty - none |    The way these events unfolded were indicative of Allah Almighty ’s hikmah ( wisdom ) as it leads to Maryam being raised in the way that is exceptional . ||| 更 确切 地 说 ， 对于 真主 降示 的 话语 而言 这是 个 纯洁 的 器皿 ， 同样 地 ， 正如马利亚 （ 麦尔彦 ） 的 童贞 对 基督徒 的 意义 一样 ， 她 的 身体 是 适于 孕育 基督 － 神 （ 真主 ） 的 道 （ 话语 ） － 的 纯洁 器皿 。 

Charm Charm | w_freq: 8 - 10 | wiki_freq: 2188 - 44 | sentence_idx: 7688 | align_1: 3-3 | align_2: 4-11 | entity: Good Luck Charm - none |    " Good Luck Charm " / " Anything That 's Part of You " ||| 《 Good Luck Charm （ 英语 ： Good Luck Charm ） 》 / 《 Anything That's Part of You （ 英语 ： Anything That's Part of You ） 》 

O.W.L.s 盎司 | w_freq: 1 - 64 | wiki_freq: 6 - 733 | sentence_idx: 12413 | align_1: 5-6 | align_2: 6-10 | entity: O.W.L.s - none |    " Maybe he got thirty O.W.L.s or saved a teacher from the giant squid . ||| “ 也许 他 得到 了 三十 盎司   ， 或 救 了 一个 老师 从 巨型 鱿鱼  。 

X-51A X-51A | w_freq: 2 - 2 | wiki_freq: 21 - 12 | sentence_idx: 17488 | align_1: 5-2 | align_2: 6-7 | entity: X-51A - none |    This is similar to the X-51A Waverider project that was halted in 2013 but not forgotten . ||| 这 与 X-51A “ 乘波者 ” （ Waverider ） 项目 类似 ， 该 项目 于 2013年 停止 ， 但 却 未 被 人们 遗忘 。 

Sodom 玛 | w_freq: 10 - 8 | wiki_freq: 1742 - 278 | sentence_idx: 32648 | align_1: 8-7 | align_2: 9-12 | entity: Sodom - 多 玛 |    On judgment day it will be easier for Sodom than for you . ” ||| 当 审判 的 日子 ， 所 多 玛 所 受 的 ， 比 你 还 容易 受 呢 ！ 」 

Imbabura 因巴布拉 | w_freq: 2 - 2 | wiki_freq: 282 - 5 | sentence_idx: 53794 | align_1: 13-8 | align_2: 14-13 | entity: Imbabura - none |    The missionary organization FEDEPI , on the other hand , estimated one million Imbabura speakers ( published 2006 ) . ||| 另一方面 ， 传教 组织 FEDEPI 估计 有 100万 因巴布拉 （ Imbabura ） 方言 使用者 （ 2006年 发布 ） 。 

Iftikhar 伊萨科夫 | w_freq: 4 - 2 | wiki_freq: 1070 - 22 | sentence_idx: 58586 | align_1: 0-2 | align_2: 1-10 | entity: Iftikhar - 伊萨科夫 |    Iftikhar has denied any wrongdoing . ||| 不过 ， 伊萨科夫 一直 声称 自己 是 清白 的 ， 他 否认 了 所有 的 指控 。 

Shaver 治之于未乱 | w_freq: 3 - 1 | wiki_freq: 1723 - 1 | sentence_idx: 59303 | align_1: 10-27 | align_2: 11-32 | entity: Shaver - none |    How on earth can you know what they are presupposing Shaver ? ||| “ 那 你 又 如何 理解 ‘ 天下 难事 必作 于 易 ， 天下 大事 必作 于 细 ’ 和 ‘ 为 之 于 未 有 ， 治之于未乱 ’ 这 两 句 ？ ” 

Capitalism Capitalism | w_freq: 81 - 12 | wiki_freq: 2244 - 20 | sentence_idx: 79931 | align_1: 34-37 | align_2: 35-44 | entity: The Age of Surveillance Capitalism - none |    But this would hurt the ability of governments and companies to know about us and predict and manipulate our behaviour , as Shoshana Zuboff demonstrated powerfully in her book , The Age of Surveillance Capitalism . ||| 但 这 将 损害 政府 和 企业 了解 我们 、 预测 和 操纵 我们 行为 的 能力 ， 正如 肖莎娜•祖博夫 ( Shoshana Zuboff ) 在 其 著作 《 监控 资本主义 时代 》 ( the Age of Surveillance Capitalism ) 中 所 证明 的 那样 。 

Falklands 福克兰 | w_freq: 8 - 32 | wiki_freq: 4850 - 962 | sentence_idx: 87364 | align_1: 8-6 | align_2: 9-11 | entity: Falklands - 福克兰 群岛 |    When I heard he was going to the Falklands I felt for his wife and the worry she must have . ||| 当 我 听到 他 要 去 福克兰 群岛 的 时候 ， 我 觉得 他 的 妻子 和 她 必须 担心 的 事情 

MSF MSF | w_freq: 12 - 8 | wiki_freq: 1258 - 20 | sentence_idx: 99188 | align_1: 8-9 | align_2: 9-15 | entity: MSF - none |    Separately , the charity Doctors Without Borders ( MSF ) said its ship Dignity 1 had saved 373 people , including 62 women and 10 children . ||| 另外 ， 慈善 机构 无 国界 医生 组织 （ MSF ， 无 国界 医生 组织 ） 表示 ， 其 船舶 Dignity 1 救 了 373 人 ， 其中 包括 62 名 妇女 和 10 名 儿童 。 

Ake Ake | w_freq: 2 - 1 | wiki_freq: 546 - 9 | sentence_idx: 103725 | align_1: 1-1 | align_2: 2-5 | entity: Ake - none |    To Ake : I am waiting for you in front of the cave . ||| To Ake （ 教练 ） ： 我 在 山洞 前 等 你 。 

Burgers Burgers | w_freq: 4 - 3 | wiki_freq: 1763 - 13 | sentence_idx: 117787 | align_1: 3-5 | align_2: 4-9 | entity: Burgers - Charlie ’ s Burgers （ CB |    Our Charlie ’s Burgers team is also an integral factor here ; we have had nearly the same service and wine team since day one . ||| 我们 的 Charlie ’ s Burgers （ CB ） 团队 也 是 这里 不可或缺 的 一个 因素 ， 从 第一 天 起 ， 我们 就 有 著 几乎 相同 的 服务 和 葡萄酒 团队 。 

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 128657 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - N EW YORK |    NEW YORK — It happens a few times a year : A customer refuses to work with Dave Greenbaum because he 's gay . ||| N EW YORK （ 美联社 ） - 它 每年 发生 几 次 ： 客户 拒绝 与 Dave Greenbaum 合作 ， 因为 他 是 同性恋 。 

McKnight Mcknight | w_freq: 11 - 1 | wiki_freq: 3201 - 1 | sentence_idx: 133230 | align_1: 1-3 | align_2: 2-8 | entity: Brian McKnight - Brian Mcknight |    Brian McKnight : Back at one ||| 19 、 Brian Mcknight （ 布赖恩 麦肯耐特 ） ---- Back At One 

Buys Buys | w_freq: 3 - 2 | wiki_freq: 490 - 4 | sentence_idx: 142673 | align_1: 0-0 | align_2: 1-4 | entity: Buys - none |    Buys and her partner successfully operated their store for nearly 20 years , but when they sold it in 2000 she was ready for a change . ||| Buys （ 拜斯 ） 和 合作 伙伴 将 他们 的 店 成功 地 经营 了 近 20 年 ， 但是 ， 当 他们 在 2000 年 把 它 卖掉 时 ， 她 已经 准备 做 一番 改变 了 。 

Eastenders 东区人 | w_freq: 1 - 1 | wiki_freq: 121 - 5 | sentence_idx: 168412 | align_1: 32-26 | align_2: 33-30 | entity: Eastenders - 东区人 |    For the other three actions participants were asked to carry out a task in response to a cue ( for example , “ When you come to a quiz question about ‘ Eastenders ’ I would like you to give me this book ” ) . ||| 对于 其他 三 个 行动 的 参与者 被 要求 对 进行 一个 任务 做出 响应 （ 例如 ， “ 当 你 来到 一个 提问 关于 “ 东区人 ” 时 ， “ 我 想 你 给 我 这 本书 ” ） 。 

Madiba 马迪巴 | w_freq: 6 - 3 | wiki_freq: 108 - 4 | sentence_idx: 175546 | align_1: 6-5 | align_2: 7-9 | entity: Madiba - 马迪巴 |    “ Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。 

PwC PwC | w_freq: 6 - 3 | wiki_freq: 771 - 14 | sentence_idx: 181794 | align_1: 4-3 | align_2: 5-7 | entity: PwC - none |    When people arrive at PwC they may already be experiencing a range of emotions . ||| 当 人们 来到 PwC 的 时候 ， 他们 可能 已经 经历 了 一 系列 的 各种 情绪 。 

Belmonts Belmonts | w_freq: 3 - 4 | wiki_freq: 257 - 0 | sentence_idx: 188247 | align_1: 3-3 | align_2: 4-12 | entity: Belmonts - none |    Dion and The Belmonts – “ I Wonder Why ” ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ） 

SR-71 SR-71 | w_freq: 4 - 4 | wiki_freq: 775 - 160 | sentence_idx: 192484 | align_1: 7-5 | align_2: 8-10 | entity: SR-71 - none |    Since it was built to intercept the SR-71 it was required to have an extreme speed , hence its Mach 3.2 top capability . ||| 由于 它 是 为了 拦截 SR-71 而 建造 的 ， 因此 需要 具有 极 高 的 速度 ， 因此 它 具有 Mach 3.2 的 顶级 能力 。 

Florentino 弗洛伦蒂诺 | w_freq: 9 - 4 | wiki_freq: 1000 - 12 | sentence_idx: 192925 | align_1: 3-2 | align_2: 4-6 | entity: Florentino - 弗洛伦蒂诺 |    Of course , Florentino can get him , nothing is impossible in life . ||| “ 当然 弗洛伦蒂诺 [ 佩雷斯 ] 可以 得到 他 ， 生活 中 没有 什么 是 不 可能 的 。 

Benefits Benefits | w_freq: 53 - 6 | wiki_freq: 4941 - 11 | sentence_idx: 193035 | align_1: 2-2 | align_2: 3-6 | entity: Friends With Benefits - none |    Friends With Benefits – Complete a Companion Activity in each camp . ||| Friends With Benefits （ 铜杯 ） - 在 每个 营地 完成 一个 同伴 活动 （ Companion Activity ） 

Amitabha Amitabha | w_freq: 3 - 2 | wiki_freq: 578 - 1 | sentence_idx: 193156 | align_1: 18-16 | align_2: 19-24 | entity: Amitabha - none |    But , for example , if I want to teach this to westerners , I just say " Amitabha , " just the name part—to simplify it . ||| 但是 ， 比如 ， 如果 我 要 对 西方人 教授 这个 ， 我 只 说 " Amitabha " （ 「 阿弥 他 巴 」 ， 只是 名号 部分 —— 来 简化 之 。 

