Cosmogonies Cosmogonies | w_freq: 2 - 2 | wiki_freq: 4 - 14 | sentence_idx: 42225 | align_1: 2-3 | align_2: 3-7 | entity: Cosmogonies - Cosmogonies |    In all Cosmogonies “ Water ” plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important . 

Whisky Whisky | w_freq: 10 - 13 | wiki_freq: 2415 - 437 | sentence_idx: 61863 | align_1: 3-3 | align_2: 4-11 | entity: Scotch Whisky - Scotch Whisky |    When was Scotch Whisky first distilled ? ||| Quand le Scotch Whisky a -t -il été distillé pour la première fois ? 

Ra’ad Ra’ | w_freq: 1 - 3 | wiki_freq: 29 - 78 | sentence_idx: 71394 | align_1: 1-1 | align_2: 2-6 | entity: Ra’ad - Ra’ ad |    A Ra’ad being inspected by an Iranian military officer . ||| Un Ra’ ad en train d’ être inspecté par un officier iranien . 

Iraqis Irakiens | w_freq: 92 - 84 | wiki_freq: 3367 - 562 | sentence_idx: 89476 | align_1: 3-2 | align_2: 4-7 | entity: Iraqis - Irakiens |    Why did the Iraqis not withdraw partially from Kuwait before January 15 , 1991 ? ||| Pourquoi les Irakiens ne se sont -ils pas retirés partiellement du Koweït avant le 15 janvier 1991 ? 

E.J. E.J. | w_freq: 3 - 3 | wiki_freq: 1481 - 85 | sentence_idx: 201881 | align_1: 3-2 | align_2: 4-7 | entity: E.J. - E.J. Gold |    So why is E.J. not better known , even in his own country ? ||| Pourquoi donc E.J. Gold n' est -il pas mieux connu , même dans son propre pays ? 

Coulson Coulson | w_freq: 6 - 6 | wiki_freq: 3470 - 209 | sentence_idx: 233260 | align_1: 8-8 | align_2: 9-12 | entity: Coulson - Coulson |    " In their hands that 's catastrophic ; Coulson please tell me you know where it is . " ||| " Dans leurs mains c’ est catastrophique ; Coulson s’ il vous plaît me dire vous savez où il est . " 

