Novecento Novecento | w_freq: 1 - 1 | wiki_freq: 278 - 136 | sentence_idx: 36726 | align_1: 3-1 | align_2: 4-7 | entity: Novecento - Novecento |    ‘ Please , Novecento , just the normal notes , OK ? ’ ||| " Novecento , s' il te plaît , que les notes normales , d' accord ? " 

Gracias Gracias | w_freq: 4 - 5 | wiki_freq: 878 - 165 | sentence_idx: 46474 | align_1: 3-2 | align_2: 4-7 | entity: Gracias - Gracias |    “ Why was Gracias allowed to speak at the papal summit ? ||| « Pourquoi Gracias a -t -il été autorisé à prendre la parole au sommet papal ? 

Gracias Gracias | w_freq: 4 - 5 | wiki_freq: 878 - 165 | sentence_idx: 46475 | align_1: 3-2 | align_2: 4-7 | entity: Gracias - Gracias |    “ Why was Gracias allowed to speak at the papal summit ? ||| « Pourquoi Gracias a -t -il été autorisé à prendre la parole au sommet papal ? 

Samaria Samarie | w_freq: 30 - 30 | wiki_freq: 1734 - 746 | sentence_idx: 52242 | align_1: 3-4 | align_2: 4-8 | entity: Samaria - Samarie |    And they possessed Samaria , and they lived in its cities . ||| Ils prirent possession de Samarie [ Shomerown ] , et ils habitèrent dans ses villes . 

Prophet Prophète | w_freq: 326 - 233 | wiki_freq: 9638 - 1698 | sentence_idx: 53830 | align_1: 14-14 | align_2: 15-20 | entity: Prophet - Prophète |    “ This son of mine is a Sayyid ( master ) , as the Prophet named him . ||| « Mon fils que voici , est un Sayyid ( maître ) comme le Prophète (  ) l’ a appelé . 

Dunbar Dunbar | w_freq: 7 - 7 | wiki_freq: 9005 - 1078 | sentence_idx: 62794 | align_1: 2-2 | align_2: 3-6 | entity: Robin Dunbar - Robin Dunbar |    As Robin Dunbar noted , we have n't the psychological capacity to really know or love more than 50 people . ||| Comme Robin Dunbar l’ a fait remarquer , nous n’ avons pas la capacité psychologique de connaître ou d’ aimer vraiment plus de 50 personnes . 

Escape Escape | w_freq: 52 - 27 | wiki_freq: 12489 - 1363 | sentence_idx: 93166 | align_1: 5-5 | align_2: 6-10 | entity: The Sweet Escape - The Sweet Escape |    Baby . and The Sweet Escape . ||| Baby . et The Sweet Escape ( le meilleur ) . 

Synod Synode | w_freq: 40 - 38 | wiki_freq: 13599 - 954 | sentence_idx: 130602 | align_1: 19-19 | align_2: 20-23 | entity: Synod - Synode |    That is why I offer you these proposals , many of them very specific , one year after the Synod held in Rome . ||| C’ est pourquoi je vous offre ces propositions , dont beaucoup sont très spécifiques , un an après le Synode qui s’ est tenu à Rome . 

Hamas Hamas | w_freq: 979 - 980 | wiki_freq: 10491 - 2724 | sentence_idx: 152395 | align_1: 5-6 | align_2: 6-10 | entity: Hamas - Hamas |    At the same time , Hamas failed to redefine itself as a national movement . ||| Dans le même temps , le Hamas n’ a pas réussi à se redéfinir comme un mouvement national . 

Coca-Cola Coca-Cola | w_freq: 104 - 108 | wiki_freq: 12082 - 2597 | sentence_idx: 166155 | align_1: 2-1 | align_2: 3-6 | entity: Coca-Cola - Coca-Cola |    Why was Coca-Cola voted Best Product Brand this year ? ||| Pourquoi Coca-Cola a -t -elle été élue Best Product Brand cette année ? 

Abbas Abbas | w_freq: 254 - 256 | wiki_freq: 14387 - 3505 | sentence_idx: 167967 | align_1: 2-1 | align_2: 3-6 | entity: Abbas - Abbas |    Was Mr Abbas informed of the fact that Hamas has n’t carried out one suicide bombing since 2005 ? ||| M. Abbas a -t -il été informé du fait que le Hamas n’ a pas effectué un seul attentat - suicide depuis 2005 ? 

Padang Padang | w_freq: 4 - 4 | wiki_freq: 2706 - 325 | sentence_idx: 175051 | align_1: 2-1 | align_2: 3-6 | entity: Gunung Padang - Gunung Padang |    Was Gunung Padang constructed in response to some kind of global or regional catastrophe ? ||| Gunung Padang a -t -il été construit en réponse à une sorte de catastrophe mondiale ou régionale ? 

Georgians Géorgiens | w_freq: 20 - 21 | wiki_freq: 3432 - 1103 | sentence_idx: 201196 | align_1: 13-18 | align_2: 14-24 | entity: Georgians - Géorgiens |    If there is no salt or bread on the table , then for Georgians there is " nothing to eat " . ||| S' il n' y a pas de sel ou de pain sur la table , alors pour les Géorgiens c' est qu’ il n’ y a " rien à manger " . 

Inman Inman | w_freq: 5 - 5 | wiki_freq: 2972 - 175 | sentence_idx: 209400 | align_1: 6-5 | align_2: 7-10 | entity: Bobby Ray Inman - Bobby Ray Inman |    K : Why was Bobby Ray Inman so helpful ? ||| KC : Pourquoi Bobby Ray Inman s’ est -il montré si serviable ? 

