FAADE token | w_freq: 1 - 11 | wiki_freq: 0 - 61 | sentence_idx: 3148 | align_1: 3-5 | align_2: 4-10 | ner_entity: FAADE-none |    So , [ FAADE ] will surface that . ||| by this [ that ] token 照 这个 [ 那个 ] 看来 。
georgie 乔治波吉布丁 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 70341 | align_1: 0-2 | align_2: 1-7 | ner_entity: none-乔治波吉布丁 |    georgie porgie .. pudding and pie .. ||| 10 . 乔治波吉布丁 与 派 ( Georgie Porgie Pudding and Pie ) 。

Eastasia Eastasia | w_freq: 5 - 4 | wiki_freq: 39 - 0 | sentence_idx: 71161 | align_1: 11-9 | align_2: 12-15 | ner_entity: Eastasia-none |    ’ When I was arrested , Oceania was at war with Eastasia . ||| ” “ 当 我 被 逮捕 , 大洋洲 是 Eastasia 交战 ”    。

Belbeuf Belbeuf | w_freq: 2 - 2 | wiki_freq: 27 - 1 | sentence_idx: 79620 | align_1: 23-25 | align_2: 24-33 | ner_entity: Marquise de Belbeuf-none |    During this period , she embarked on a series of relationships with other women , notably with Mathilde de Morny , Marquise de Belbeuf ( “ Missy ” ) , with whom she sometimes shared the stage . ||| 在 这些 年 里 ， 她 与 一些 女性 开始 了 一 系列 的 恋情 ， 特别 是 与 Mathilde de Morny , Marquise de Belbeuf （ 英语 ： Mathilde de Morny ） （ “ Missy ” ） 的 关系 ， 她 有时 与 她 一起 演 舞台剧 。

Artsvik Artsvik | w_freq: 1 - 2 | wiki_freq: 41 - 0 | sentence_idx: 100569 | align_1: 2-3 | align_2: 3-9 | ner_entity: Armenia Artsvik-none |    16 Armenia Artsvik " Fly with Me " English 7 152 ||| 16 亚美尼亚 英语 Artsvik （ 英语 ： Artsvik ） " Fly with me " 跟 我 一起 飞去 7 152

Anang-pal 佛前 | w_freq: 1 - 3 | wiki_freq: 0 - 60 | sentence_idx: 100747 | align_1: 1-1 | align_2: 2-6 | ner_entity: Anang-pal-none |    by Anang-pal , and that the more extensive , though weaker , ||| 今于 佛前 ， 自 说 誓言 ， 其 多 宝佛 ， 虽 久 灭度 ，

Scriptum Scriptum | w_freq: 1 - 1 | wiki_freq: 18 - 0 | sentence_idx: 104617 | align_1: 13-11 | align_2: 14-17 | ner_entity: Scriptum-none |    According to Balcells , this is exactly what they ’ve seen since launching Scriptum , adding that they ’re very encouraged by the high levels of interest the app generated so far . ||| 根据 Balcells 的 说法 ， 这 正是 他们 自 推出 《 Scriptum 》 以来 所 看到 的 ， 并 补充 说 他们 对 应用 程序 迄今为止 产生 的 高度 兴趣 感到 非常 兴奋 。

detaine[d] 严正花 | w_freq: 1 - 2 | wiki_freq: 0 - 8 | sentence_idx: 106871 | align_1: 31-27 | align_2: 32-35 | ner_entity: none-严正花 |    Over the last five years , a series of people formerly held in GEO Group ’s private immigration [ prisons ] have sued the company over [ their enslavement while] … detaine[d] … [those ] who refuse [ are locked in ] solitary confinement . ||| ​ 15 年前 ， 名叫 西珍 的 小 女孩 遭 人 绑架 杀害 ， 重案组 警官 吴青浩 （ 金 相庆 饰 ） 虽 答应 西珍 母亲 （ 严正花 饰 ） 一定 将 凶手 绳之以法 ， 无奈 经过 漫长 的 追查 却 始终 一无所获 。

aunty auntie | w_freq: 4 - 1 | wiki_freq: 84 - 0 | sentence_idx: 109856 | align_1: 4-2 | align_2: 5-13 | ner_entity: none-auntie |    What about uncle and aunty ? Family , Kids ? … . ||| uncle 和 auntie （ 一般 人 ） 的 世界 是 什么 ？ 工作 ？ 家庭 ？ 孩子 ？

Belbeuf Belbeuf | w_freq: 2 - 2 | wiki_freq: 27 - 1 | sentence_idx: 117230 | align_1: 22-25 | align_2: 23-33 | ner_entity: Marquise de Belbeuf-none |    During these years she embarked on a series of relationships with other women , notably with Mathilde de Morny , Marquise de Belbeuf ( " Missy " ) , with whom she sometimes shared the stage . ||| 在 这些 年 里 ， 她 与 一些 女性 开始 了 一 系列 的 恋情 ， 特别 是 与 Mathilde de Morny , Marquise de Belbeuf （ 英语 ： Mathilde de Morny ） （ “ Missy ” ） 的 关系 ， 她 有时 与 她 一起 演 舞台剧 。

Hotels.com Hotels.com | w_freq: 1 - 1 | wiki_freq: 89 - 23 | sentence_idx: 129660 | align_1: 8-10 | align_2: 9-17 | ner_entity: Hotels.com-none |    I usually make reservations through booking sites like Hotels.com and I ’m not a member of any reward programs . ||| 我 通常 会 通过 预订 酒店 的 网页 ， 比如 Hotels.com 来 预定 住宿 的 地方 ， 而 我 也 不是 什么 奖励 计划 的 会员 。

Asla Asla | w_freq: 1 - 1 | wiki_freq: 40 - 1 | sentence_idx: 133394 | align_1: 2-2 | align_2: 3-8 | ner_entity: York Banks Asla-none |    York Banks Asla , welcome to to the world . ” ||| York Banks Asla ( 她 的 儿子 ) ， 欢迎 来到 这个 世界 。

ESFP ESFP型 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 137571 | align_1: 2-1 | align_2: 3-5 | ner_entity: ESFP-none |    For the ESFP making certain plans can be fun , especially if they are planning out something they truly want to do . ||| 对于 ESFP型 人 来说 ， 做 某些 计划 可能 很 有趣 ， 尤其是 他们 真正 想 做 的 事情 。

Freemuse Freemuse | w_freq: 1 - 1 | wiki_freq: 40 - 0 | sentence_idx: 138699 | align_1: 0-8 | align_2: 1-12 | ner_entity: Freemuse-国际 组织 Freemuse |    Freemuse launched its annual report , The State of Artistic Freedom 2019 : Whose Narratives Count ? ||| 总部 设于 丹麦 哥本哈根 的 非政府 国际 组织 Freemuse ， 三月 底 发表 全球 艺术 自由 状况 年度 报告 The State of Artistic Freedom 2019 : Whose Narratives Count ?

Rememberer �雕 | w_freq: 1 - 1 | wiki_freq: 13 - 0 | sentence_idx: 140201 | align_1: 9-10 | align_2: 10-17 | ner_entity: Rememberer-none |    And certainly that holds true for Iris and The Rememberer . ||| 《 易经 》 ： 是 各种 学问 所 遵从 且 �雕 [ 不 变 的 依据 经典 。

Victaulic Victaulic | w_freq: 1 - 1 | wiki_freq: 32 - 0 | sentence_idx: 142717 | align_1: 2-1 | align_2: 3-6 | ner_entity: Victaulic-none |    Why did Victaulic decide to put time and resources into developing the new FireLock Installation-Ready Fittings ? ||| 为什么 Victaulic （ 唯 特利 ） 决定 投入 时间 和 资源 来 开发 新 的 FireLock 免拆 快装式 管件 ？

Rencken Rencken | w_freq: 3 - 3 | wiki_freq: 11 - 0 | sentence_idx: 146276 | align_1: 4-4 | align_2: 5-8 | ner_entity: Dieter Rencken-Dieter Rencken |    Q : ( Dieter Rencken ) Taking what the three of you have just said variously in reply to a question , it appears as though Liberty are intent on introducing a budget cap of about $ 150 m by the end of 2020 . ||| 问 : ( Dieter Rencken - Racing Lines ） 考虑 到 你们 三 人 刚刚 回答 一个 问题 所 说 的话 ， 似乎 Liberty 有意 在 2020年 底 之前 引入 约 1.5亿 美元 的 预算 上限 。

Repa Repa | w_freq: 1 - 1 | wiki_freq: 64 - 2 | sentence_idx: 155632 | align_1: 9-10 | align_2: 10-14 | ner_entity: Barbara Kate Repa-Repa |    Your Rights in the Workplace , by Barbara Kate Repa – ||| 看看 你 的 权利 在 工作 场所 , 由 芭芭拉·凯特 Repa ( 无罪 ) 。

3CX 3CX | w_freq: 3 - 3 | wiki_freq: 46 - 1 | sentence_idx: 165598 | align_1: 15-13 | align_2: 16-18 | ner_entity: 3CX WebMeeting-none |    3CX is a 100-percent channel company and is the developer of 3CX Phone System and 3CX WebMeeting . ||| 3CX 是 一家 100％ 的 渠道 公司 ， 是 3CX 电话 系统 和 3CX 网页 发起 会议 （ Web Meeting ） 的 开发商 。

AIM-120D AIM-120D | w_freq: 1 - 1 | wiki_freq: 17 - 6 | sentence_idx: 175642 | align_1: 4-4 | align_2: 5-9 | ner_entity: AIM-120D-none |    The Navy already declared AIM-120D IOC and plans to deploy the missile this year . ||| 海军 也 已 宣布 AIM-120D 初始 作战 能力 ( IOC ) ， 并 计划 今年 部署 该 导弹 。

CHALLENGE 帕丽斯 | w_freq: 4 - 3 | wiki_freq: 44 - 14 | sentence_idx: 179138 | align_1: 1-0 | align_2: 2-4 | ner_entity: none-帕丽斯 |    THE CHALLENGE : The leaders of France and Spain said Wednesday that the 17 countries that use the euro already have all the tools they need to solve their debt crisis and now must put their promises into action . ||| 帕丽斯 （ 美联社 ） - 法国 和 西班牙 领导人 周三 表示 ， 使用 欧元 的 17 个 国家 已经 拥有 解决 债务 危机 所需 的 所有 工具 ， 现在 必须 将 其 承诺 付诸 行动 。

Uzzi Uzzi | w_freq: 1 - 1 | wiki_freq: 55 - 1 | sentence_idx: 179781 | align_1: 4-13 | align_2: 5-20 | ner_entity: Brian Uzzi-Brian Uzzi |    Northwestern University ’s Brian Uzzi calls this the shared activities principle . ||| 美国 西北 大学 （ Northwestern University ） 的 布莱恩 ． 乌济 （ Brian Uzzi ） ， 把 这 件 事 称为 共享 活动 原则 。

NDSL NDSL | w_freq: 1 - 1 | wiki_freq: 15 - 4 | sentence_idx: 181154 | align_1: 13-17 | align_2: 14-24 | ner_entity: none-NDSL |    Canada Domestic Substances List ( DSL ) and the Non-Domestic Substances List ( NDSL ) ||| 加拿大 Domestic Substances List ( DSL ) （ 国内 物质 清单 ） 和 Non-Domestic Substances List ( NDSL ) （ 非 国内 物质 清单 ）

Swiber Swiber | w_freq: 1 - 1 | wiki_freq: 1 - 10 | sentence_idx: 191681 | align_1: 0-0 | align_2: 1-4 | ner_entity: Swiber-none |    Swiber has not recognised any revenue related to the project . ||| Swiber 补充 说 ， 它 并未 确认 任何 与 该 项目 相关 的 收入 。

Mintzberg 明茨伯格 | w_freq: 3 - 2 | wiki_freq: 98 - 1 | sentence_idx: 199739 | align_1: 7-8 | align_2: 8-16 | ner_entity: Mintzberg-明茨伯格 |    One of the original management thinkers , Mintzberg concludes that strategy can not be planned because planning is about analysis and strategy is about synthesis . ||| 作为 最 早 的 管理 思想家 之一 ， 明茨伯格 对 战略 规划 进行 了 总结 ， 认为 战略 不 能够 规划 ， 因为 规划 是 分析 ， 而 战略 是 综合 。

BreakPoint BreakPoint | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 202443 | align_1: 2-4 | align_2: 3-8 | ner_entity: BreakPoint-( BreakPoint ) 网站 |    Recently on BreakPoint , I said that it took a lot of courage to be a Christian in Iraq . ||| 最近 在 突破点 ( BreakPoint ) 网站 上 ， 我 曾 说 在 伊拉克 当 一 名 基督徒 需要 很 大 的 勇气 。

Samalavicius 阿曼达·萨马拉 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 204249 | align_1: 1-0 | align_2: 2-7 | ner_entity: Almantas Samalavicius-阿曼达·萨马拉 维西斯 |    Almantas Samalavicius : The neoliberal agenda that came into being a few decades ago in the northern hemisphere , and was eventually globalized , now seems to threaten systems of higher education worldwide . ||| 阿曼达·萨马拉 维西斯 ( 以下 简称 问 ) ： 几十 年前 在 北半球 形成 的 新 自由主义 议程 最终 实现 了 全球化 ， 现在 似乎 正在 威胁 全世界 的 高等 。

Samalavicius 维西斯 | w_freq: 1 - 1 | wiki_freq: 0 - 9 | sentence_idx: 204249 | align_1: 1-1 | align_2: 2-7 | ner_entity: Almantas Samalavicius-阿曼达·萨马拉 维西斯 |    Almantas Samalavicius : The neoliberal agenda that came into being a few decades ago in the northern hemisphere , and was eventually globalized , now seems to threaten systems of higher education worldwide . ||| 阿曼达·萨马拉 维西斯 ( 以下 简称 问 ) ： 几十 年前 在 北半球 形成 的 新 自由主义 议程 最终 实现 了 全球化 ， 现在 似乎 正在 威胁 全世界 的 高等 。

WNBR WNBR | w_freq: 1 - 1 | wiki_freq: 43 - 4 | sentence_idx: 207104 | align_1: 21-15 | align_2: 22-19 | ner_entity: WNBR-none |    “ If you are coming just to be a pain in the neck and to be the one to end this WNBR we ’d rather you stayed at home . ” ||| “ 如果 你 只是 为了 成为 一个 痛苦 的 脖子 ， 并 成为 结束 这个 WNBR 的 人 ， 我们 宁愿 你 呆 在 家里

Arbesman Arbesman | w_freq: 3 - 3 | wiki_freq: 8 - 0 | sentence_idx: 209590 | align_1: 14-23 | align_2: 15-28 | ner_entity: Samuel Arbesman-none |    The Half-life of Facts Why everything we know has an expiration date by Samuel Arbesman ( 2012 ) ||| 《 半生 所 知 》 （ The Half-life of Facts : Why Everything We Know Has an Expiration Date ） 萨缪尔·阿布斯曼 （ Samuel Arbesman ） 著 Current Hardcover 2012年 9月

Norlela 诺莱拉 | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 212003 | align_1: 6-5 | align_2: 7-10 | ner_entity: Norlela-诺莱拉 |    One commented , “ Good job Norlela , I believe what u have been doing is extremely important in improving racial harmony in Malaysia . ||| 有人 评论 说 ： “ 诺莱拉 ， 做 得 好 ， 我 相信 你 所 做 的 对 改善 马来西亚 的 种族 和谐 非常 重要 。

DVCS DVCS | w_freq: 1 - 1 | wiki_freq: 41 - 4 | sentence_idx: 221507 | align_1: 9-2 | align_2: 10-10 | ner_entity: DVCS-none |    It ’s pretty early days for our use of DVCS but I like it and also find it the easiest way to set up workspaces . ||| 我们 使用 DVCS 的 时间 已经 很 早 了 ， 但 我 喜欢 它 ， 并且 发现 它 是 设置 工作 空间 的 最 简单 方法 。

al-Mutakabbir 穆吉布 | w_freq: 1 - 1 | wiki_freq: 0 - 5 | sentence_idx: 227654 | align_1: 5-3 | align_2: 6-9 | ner_entity: al-Mutakabbir-穆吉布 |    No doubt , Allah is al-Mutakabbir . ||| 真主 是 “ 穆吉布 ” （ 有求必应 的 ） 。

Self-care Self-care | w_freq: 2 - 1 | wiki_freq: 58 - 1 | sentence_idx: 241462 | align_1: 8-9 | align_2: 9-17 | ner_entity: none-“ Self-care |    According to Pinterest researcher Larkin Brown , “ Self-care searches are up 121 percent . ” ||| 据 Pinterest 研究员 Lark in Brown 说 ， “ Self-care （ ‘ 照顾 自己 ’ ） 的 搜索量 增长 了 121% 。

10.1.x 10.1.x | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 248249 | align_1: 20-19 | align_2: 21-24 | ner_entity: 10.1.x-none |    Note : After extensive testing , Adobe has determined that Dreamweaver 4 runs in Classic Mode on Mac OS X 10.1.x without any new problems . ||| 注意 ： 进行 大量 测试 之后 ， Adobe 判定 Dreamweaver 4 能 以 传统 模式 在 Mac OS X 10.1.x 上 执行 ， 而 不 会 发生 任何 新 问题 。

CoBC CoBC | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 251759 | align_1: 18-18 | align_2: 19-22 | ner_entity: CoBC-none |    We strive to maintain an environment that demonstrates strong business ethics and our Code of Business Conduct ( CoBC ) conveys our values and expectations . ||| 我们 致力 于 维护 能 展现 良好 企业 道德 的 环境 ， 公司 的 商业 行为 准则 ( CoBC ) ( 英文 ) 表达 了 我们 的 价值观 和 期望 。

MAHAVIR 毗罗 | w_freq: 1 - 1 | wiki_freq: 0 - 22 | sentence_idx: 260446 | align_1: 3-3 | align_2: 4-11 | ner_entity: MAHAVIR-摩诃 毗罗 |    I SPEAK ON MAHAVIR as a part of my duty -- my heart is never with him . ||| 我 谈论 摩诃 毗罗 （ Mahavira ） ， 我 把 这 当作 我 的 责任 的 一部分 ── 我 的 心 从来 不和 他 在一起 。

Dusha Dusha | w_freq: 1 - 2 | wiki_freq: 39 - 0 | sentence_idx: 261511 | align_1: 9-10 | align_2: 10-18 | ner_entity: Dusha-none |    In 2007 , he published his first book , Dusha , Russian Soul . ||| 2007年 他 出版 了 他 的 第一 本 摄影集 《 Dusha ， 俄罗斯 的 灵魂 》 （ Dusha , Russian Soul ）

ReplyTo ReplyTo | w_freq: 1 - 1 | wiki_freq: 2 - 2 | sentence_idx: 264621 | align_1: 14-16 | align_2: 15-20 | ner_entity: ReplyTo-none |    As mentioned , any response from the web service should be sent to the ReplyTo EPR . ||| 正如 所 提到 的 ， 来自于 Web 服务 的 任何 响应 都 应该 被 发送 给 ReplyTo 端点 引用 （ EPR ） 。

Stutland Stutland | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 268879 | align_1: 10-10 | align_2: 11-17 | ner_entity: Brian Stutland-Brian Stutland |    But for some , including Equity Armor Investments ’ Brian Stutland , bitcoin seems like an even better investment than silver . ||| 但 对 包括 Equity Armor Investments 的 布莱恩·斯塔兰德 ( Brian Stutland ) 在内 的 一些 人 来说 ， 比特币 似乎 是 比 白银 更 好的 投资 。

Shafaq—revealed Shafaq | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 297660 | align_1: 24-28 | align_2: 25-32 | ner_entity: Shafaq—revealed-none |    One should also bear in mind that back in 2003 , Iran unveiled an earlier , more convincing fake subsonic stealth fighter called the Shafaq—revealed in 2014 to be a mock-up made of wood . ||| 人们 还 应该 记住 ， 早 在 2003年 ， 伊朗 就 推出 了 一 款 早期 的 ， 更 具 说服力 的 伪亚 音速 隐形 战斗机 ， 称为 Shafaq ， 但 该机 在 2014年 被 公开 是 木制 模型 。

Al-Qadir 凯里目 | w_freq: 1 - 2 | wiki_freq: 54 - 0 | sentence_idx: 315567 | align_1: 0-1 | align_2: 1-7 | ner_entity: Al-Qadir-凯里目 |    Al-Qadir is one of the names of Allah . ||| “ 凯里目 ” （ 尊贵 的 ） 是 真主 的 尊名 之一 。

Fuzzylime fuzzylime | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 316172 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-fuzzylime |    Fuzzylime is the easiest way for you to run your site and keep it up-to-date . ||| fuzzylime （ CMS ） 是 最 简单 的 方法 ， 您 可以 运行 您 的 网站 ， 并 保持 最新 。

Goyesca Goyesca | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 319250 | align_1: 15-12 | align_2: 16-18 | ner_entity: Goyesca-none |    The town ’s bullfighting ring is only used once a year , at the Feria Goyesca , but it ’s also a museum where you can learn about the history of this traditional ( yet controversial ) sport . ||| 这 座 城镇 的 斗牛场 一 年 仅 在 戈耶斯卡节 ( Feria Goyesca ) 时 启用 一 次 ， 但 它 也 是 你 可以 了解 这项 传统 ( 且 充满 争议性 ) 运动 历史 的 博物馆 。

Rencken Rencken | w_freq: 3 - 3 | wiki_freq: 11 - 0 | sentence_idx: 322597 | align_1: 4-4 | align_2: 5-8 | ner_entity: Dieter Rencken-Rencken |    Q : ( Dieter Rencken ) Lance , on the topic that Felipe 's just mentioned about a four-year-old car , you 've done a lot of testing with a four-year-old car and you 're obviously driving the current car . ||| 问 : ( Dieter Rencken - Racing Lines ） Lance ， 关于 Felipe 刚刚 提到 的 关于 一 辆 有 四 年 历史 的 汽车 的 话题 ， 你 已经 用 一 辆 四 年 的 汽车 做 了 很多 测试 ， 你 显然 是 在 开车 目前 的 车 。

SmugMug SmugMug | w_freq: 3 - 3 | wiki_freq: 30 - 6 | sentence_idx: 359167 | align_1: 21-19 | align_2: 22-24 | ner_entity: SmugMug-none |    “ If we make any changes , we ’re going to make sure the changes are for the better , ” SmugMug ’s FAQ page says . ||| “ 如果 进行 任何 更改 ， 我们 将 确保 所 做 的 更 改变 得 更 好 ， ” SmugMug 的 “ 常见 问题 ” 页面 说 。

CommonWell CommonWell | w_freq: 1 - 2 | wiki_freq: 5 - 1 | sentence_idx: 381338 | align_1: 5-4 | align_2: 6-9 | ner_entity: CommonWell Health Alliance-CommonWell 健康 联盟 |    However , Rathore stated the CommonWell Health Alliance is Cerner ’s solution to this issue . ||| 然而 ， Rathore 认为 CommonWell 健康 联盟 （ CommonWell Health Alliance ） 就是 Cerner 针对 这 一 问题 提出 的 解决 方案 。

98/2019 第98/2019 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 383837 | align_1: 8-6 | align_2: 9-11 | ner_entity: 98/2019-none |    Secondly , the Draft Legislative Decree No . 98/2019 establishes Spanish and English as the possible languages for a trademark application filed through the Madrid System . ||| 其次    ， 《 第98/2019 号 法令 草案 》 规定 人们 在 通过 马德里 体系 提交 商标 申请 时 可以 使用 西班牙语 和 英语 这 两 种 语言    。

98/2019 第98/2019 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 383838 | align_1: 8-3 | align_2: 9-8 | ner_entity: 98/2019-none |    Secondly , the Draft Legislative Decree No . 98/2019 establishes Spanish and English as the possible languages for a trademark application filed through the Madrid System . ||| 其次 ， 《 第98/2019 号 法令 草案 》 规定 人们 在 通过 马德里 体系 提交 商标 申请 时 可以 使用 西班牙语 和 英语 这 两 种 语言 。

Bayán OOo,汪汪队 | w_freq: 2 - 1 | wiki_freq: 80 - 0 | sentence_idx: 384720 | align_1: 6-1 | align_2: 7-5 | ner_entity: Bayán-none |    Say : O people of the Bayán ! ||| 汪汪队 OOo,汪汪队 oooo ， 汪汪队 。

Bayán 汪汪队 | w_freq: 2 - 2 | wiki_freq: 80 - 33 | sentence_idx: 384720 | align_1: 6-0 | align_2: 7-5 | ner_entity: Bayán-汪汪队 |    Say : O people of the Bayán ! ||| 汪汪队 OOo,汪汪队 oooo ， 汪汪队 。

Ke-i'lah 振起 | w_freq: 1 - 3 | wiki_freq: 0 - 42 | sentence_idx: 386141 | align_1: 6-5 | align_2: 7-11 | ner_entity: Ke-i'lah-none |    So David delivered the inhabitants of Ke-i'lah . ||| 邓颖超 就 发出 了 “ 振起 精神 ， 供 后人 敬祀 。

Kaafir 伪物 | w_freq: 1 - 1 | wiki_freq: 23 - 11 | sentence_idx: 394551 | align_1: 10-9 | align_2: 11-44 | ner_entity: Kaafir-none |    That is why the rejecter of the Qur'an is a Kaafir . ||| 《 伪物语 》     是 “ 伪物     的 物语 ( 伪即 不 真实     ， 不 成熟     ， 虚伪     的 ) ”     。

Besserer Besserer | w_freq: 1 - 2 | wiki_freq: 84 - 1 | sentence_idx: 402007 | align_1: 6-7 | align_2: 7-15 | ner_entity: Eugenie Besserer-Eugenie Besserer |    Jack and his mother ( Eugenie Besserer ) ||| Jack 与 他 的 母亲 （ Eugenie Besserer （ 英语 ： Eugenie Besserer ） 饰演 ）

