Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 

williams 唐·威廉姆斯 | w_freq: 2 - 1 | wiki_freq: 169 - 4 | sentence_idx: 6840 | align_1: 1-0 | align_2: 2-9 | entity: none - 唐·威廉姆斯 |    don williams we got love ||| 唐·威廉姆斯 （ Don Williams ） 《 我们 拥有 了 爱we got love 》 

UITP UITP | w_freq: 1 - 1 | wiki_freq: 48 - 14 | sentence_idx: 8322 | align_1: 0-0 | align_2: 1-7 | entity: UITP - none |    UITP is the only worldwide network to bring together all public transport stakeholders and all sustainable transport modes . ||| UITP 具有 悠久 的 历史 ， 它 是 唯一 一个 将 所有 公共 交通 利益 相关者 和 所有 可 持续 交通 运输 模式 结合 在 一起 的 全球 网络 。 

Fugger Fugger | w_freq: 3 - 1 | wiki_freq: 809 - 11 | sentence_idx: 9641 | align_1: 5-5 | align_2: 6-11 | entity: Jacob Fugger - Fugger |    He borrowed it from Jacob Fugger , the banker he also turned to for financing many of his military campaigns . ||| 他 从 雅各布·富格 （ Jacob Fugger ） 那里 借 来 的 ， 这位 银行家 也 转向 为 他 的 许多 军事 活动 提供 资金 

OKYour OK | w_freq: 1 - 87 | wiki_freq: 0 - 961 | sentence_idx: 11236 | align_1: 0-0 | align_2: 1-5 | entity: OKYour - none |    OKYour website nowadays is often the first interaction between you and your customers ( or audience , whatever the case may be ) . ||| OK 如今 ， 您 的 网站 通常 是 您 和 您 的 客户 （ 或 观众 ， 无论 情况 如何 ） 之间 的 第一 次 互动 。 

ELC ELC | w_freq: 5 - 5 | wiki_freq: 344 - 18 | sentence_idx: 12189 | align_1: 9-12 | align_2: 10-20 | entity: ELC - none |    Tell us where you want to study ; at ELC or at home / at work ? ||| 您 可以 告诉 我们 您 想 在 哪里 学习 ， 是 在 ELC （ 英语 语言 中心 ） ， 在家 还是 在 您 的 工作 场所 ？ 

Gramsci Gramsci狱 | w_freq: 4 - 2 | wiki_freq: 797 - 0 | sentence_idx: 12209 | align_1: 0-8 | align_2: 1-17 | entity: Gramsci - Gramsci狱 |    Gramsci : “ I ’m a pessimist because of intelligence , but an optimist because of will . ” ||| 最近 阅读 文章 ， 看到 意大利 哲学家 Antonio Gramsci狱 中 书信 里 发人深省 的 一句话 ， 写道 ： I ’ m a pessimist be cause of intelligence , but an optimist be cause of will 。 

Trufflehunter 建辉 | w_freq: 4 - 1 | wiki_freq: 6 - 33 | sentence_idx: 14894 | align_1: 8-10 | align_2: 9-20 | entity: Trufflehunter - 曹 建辉 |    " Come on , then , " snarled Trufflehunter , but he was immediately interrupted . ||| “ 你 快 过来 ， 良辰 火锅店 ， ” 曹 建辉 说 完 这话 后 ， 发出 一 声 尖叫 ， 然后 通话 就 断 了 。 

Birkmayer Birkmayer | w_freq: 4 - 4 | wiki_freq: 6 - 0 | sentence_idx: 18381 | align_1: 3-3 | align_2: 4-7 | entity: Birkmayer - none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Dr . Birkmayer 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。 

