E-58 E-58 | w_freq: 22 - 26 | wiki_freq: 5 - 2 | sentence_idx: 7566 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-58 |    E-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ?

Deliveroo Deliveroo | w_freq: 5 - 5 | wiki_freq: 179 - 78 | sentence_idx: 13696 | align_1: 6-5 | align_2: 7-12 | ner_entity: Deliveroo-Deliveroo |    What improvements did your partnership with Deliveroo make for your restaurant ? * ||| Quelles améliorations votre partenariat avec Deliveroo vous a -t -il permis de faire pour votre restaurant ? *

Khaba'ith ith | w_freq: 2 - 2 | wiki_freq: 0 - 3 | sentence_idx: 15094 | align_1: 10-13 | align_2: 11-21 | ner_entity: Al- Khaba'ith-none |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba’ ith . [ contre les djinns mâles et femelles]. »

Khaba'ith Khaba’ | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 15094 | align_1: 10-12 | align_2: 11-21 | ner_entity: Al- Khaba'ith-Khaba’ |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba’ ith . [ contre les djinns mâles et femelles]. »

E-5 E-5 | w_freq: 31 - 34 | wiki_freq: 264 - 32 | sentence_idx: 24116 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-5 |    E-5 I remember very well first time seeing Brother Evans . ||| E-5 ( 9 ) Je me souviens très bien de la première fois que j' ai vu frère Evans .

E-53 E-53 | w_freq: 23 - 24 | wiki_freq: 3 - 1 | sentence_idx: 24341 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-53 |    E-53 No wonder we ca n't have healing campaigns . ||| E-53 Il n’ est pas étonnant que nous ne puissions pas avoir des campagnes de guérison .

E-12 E-12 | w_freq: 22 - 25 | wiki_freq: 30 - 3 | sentence_idx: 29084 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-12 |    E-12 No rain , and she must have prayed all night long . ||| E-12 Il n’ y avait pas de pluie , et elle devait avoir prié toute la nuit durant .

