Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 

Chicks poussins | w_freq: 2 - 7 | wiki_freq: 2988 - 1250 | sentence_idx: 7525 | align_1: 10-13 | align_2: 11-18 | entity: ' The Downtown Chicks … And Jim - none |    " We now refer to ourselves as ' The Downtown Chicks … And Jim . ' " ||| " Nous nous référons maintenant à nous - mêmes comme étant ' les poussins du centre - ville … et Jim . ' " 

Limbs Limbs | w_freq: 1 - 1 | wiki_freq: 487 - 37 | sentence_idx: 15336 | align_1: 10-11 | align_2: 11-15 | entity: Life Without Limbs - Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe - 800,000 people in the streets of Kyiv Ukraine ! ||| “ Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine ! 

Yesterday Hier | w_freq: 193 - 191 | wiki_freq: 4941 - 457 | sentence_idx: 20854 | align_1: 0-0 | align_2: 1-6 | entity: Yesterday - none |    Yesterday Defense Secretary Mattis called for a ceasefire in Yemen : ||| Hier , le secrétaire à la Défense , Mattis , a appelé à un cessez-le-feu au Yémen : 

S-228 S-228 | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 30159 | align_1: 1-4 | align_2: 2-9 | entity: Bill S-228 - S-228 |    Bill S-228 will die if not passed by end of session ||| Le projet de loi S-228 mourra s’ il n’ est pas adopté avant la fin de la session 

E-36 E-36 | w_freq: 20 - 21 | wiki_freq: 2 - 2 | sentence_idx: 32486 | align_1: 0-0 | align_2: 1-4 | entity: E-36 - none |    E-36 Many things , if we had time to go into what He done in the natural seed , how they did that through Isaac 's seed . ||| E-36 ( 94 ) Beaucoup de choses , si nous avions le temps d’ aborder ce qu’ Il a accompli à travers la semence naturelle , comment ils ont fait cela au travers de la semence d’ Isaac . 

Gazan Gaza | w_freq: 10 - 951 | wiki_freq: 553 - 4952 | sentence_idx: 33356 | align_1: 15-17 | align_2: 16-21 | entity: Gazan - Gaza |    They are testing their weapons on us and on our children , ” said a Gazan cancer patient . ||| Elles testent leurs armes sur nous et sur nos enfants » , a déclaré un patient de Gaza atteint d’ un cancer . 

