Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 1636 | align_1: 7-5 | align_2: 8-9 | ner_entity: Magento-specialists-none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 !

FEDS FEDS | w_freq: 2 - 2 | wiki_freq: 18 - 0 | sentence_idx: 2063 | align_1: 21-20 | align_2: 22-24 | ner_entity: FEDS-FEDS |    We had received much information from various groups that they were real , but we did not have anything from the FEDS stating as such ( FRB ) . ||| Wir hatten viele Informationen von unterschiedlichen Gruppen bekommen , dass sie echt waren , aber wir hatten nichts von den FEDS , als die Erklärung als solche ( FRB ) ..

non-Deuteronomic non-Deuteronomic | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 3396 | align_1: 14-14 | align_2: 15-21 | ner_entity: non-Deuteronomic-none |    1 - 43 , 48 - 52 , xxxiv . must be separated as non-Deuteronomic . ||| 1 - 43 , 48 - 52 , XXXIV . must be separated as non-Deuteronomic . müssen getrennt werden als Nicht-Deuteronomic .

HealthCare.gov HealthCare.gov | w_freq: 2 - 2 | wiki_freq: 94 - 0 | sentence_idx: 15299 | align_1: 7-6 | align_2: 8-11 | ner_entity: HealthCare.gov-HealthCare.gov |    “ They ’ve also provided tools at HealthCare.gov to inform patients of their insurance and cost assistance options and prepare them to enroll in a plan beginning in 2014 . ||| " Sie haben auch Tools bei HealthCare.gov zur Verfügung gestellt , um Patienten über ihre Versicherungs- und Kostenunterstützungsoptionen zu informieren und sie darauf vorzubereiten , sich ab 2014 in einen Plan einzuschreiben .

my-GREENstyle.com my-GREENstyle.com | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 32774 | align_1: 12-11 | align_2: 13-16 | ner_entity: my-GREENstyle.com-my-GREENstyle.com |    Mirjam takes care of the content and Florens about everything that makes my-GREENstyle.com what it is . ||| Mirjam kümmert um die Inhalte und Florens um alles , was my-GREENstyle.com zu dem macht , was es ist .

Cuju Cuju | w_freq: 1 - 1 | wiki_freq: 87 - 13 | sentence_idx: 34776 | align_1: 0-0 | align_2: 1-4 | ner_entity: Cuju-Cuju |    Cuju is a very old football game : ||| Cuju ( cuju ) ist ein sehr altes Fußballspiel :

OnLogic OnLogic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 53555 | align_1: 5-5 | align_2: 6-10 | ner_entity: OnLogic-OnLogic |    “ We enjoy working with OnLogic for a variety of reasons : First , their computers are energy-efficient , quiet , easy to mount , and extremely reliable . ||| „ Wir arbeiten gerne mit OnLogic zusammen , und zwar aus verschiedenen Gründen : Erstens sind Ihre Computer energieeffizient , leise , leicht zu montieren und unglaublich zuverlässig .

Debelic Debelic | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 55560 | align_1: 20-17 | align_2: 21-21 | ner_entity: Danijela Debelic-Danijela Debelic |    For this purpose , we also offer the possibility of an internet conference with our therapist or our doctor Danijela Debelic to develop solutions or use these dates as a quick intervention . ||| Hierzu bieten wir auch die Möglichkeit über eine Internetkonferenz mit unseren Therapeuten oder unserer Ärztin Dr. Danijela Debelic zu sprechen , um gemeinsam Lösungen zu erarbeiten oder diese Termine als Kurzintervention zu nutzen .

mix-marry al-Masĩh | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 78816 | align_1: 7-9 | align_2: 8-18 | ner_entity: none-al-Masĩh |    Unbelievers could not Lawfully cohabitate with and mix-marry among Israelites . ||| Und es gab keinen von den Israeliten , und al-Masĩh ( Jesus ) miteinbegriffen , die jegliche Beziehungen zu Faran hatten .

RebelionBus RebelionBus | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 79535 | align_1: 9-8 | align_2: 10-13 | ner_entity: Operation # RebelionBus-RebelionBus |    The most recent one , called “ Operation # RebelionBus , ” occurred on Wednesday , February 1 . ||| Die letzte , die sogenannte “ Operation # RebelionBus ” [ es ] , fand am Mittwoch , dem 1. Februar , statt .

DADs DADs | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 84229 | align_1: 2-1 | align_2: 3-5 | ner_entity: none-DADs |    Hold the DADs where the participants work to minimize obstacles for participation ||| Halte DADs dort ab , wo die Teilnehmer arbeiten , um Hindernisse für die Teilnahme zu minimieren .

Ibaadah Ghafur | w_freq: 2 - 1 | wiki_freq: 1 - 19 | sentence_idx: 91122 | align_1: 1-2 | align_2: 2-7 | ner_entity: none-Ghafur ( Nachsichtige |    The Ibaadah of the free ones is the Ibaadah of those who are grateful . ” ||| Namensgebung : Ghafur ( Nachsichtige ) al-Schakur der Dankbare , der Vergelter ,

FEDS FEDS | w_freq: 2 - 2 | wiki_freq: 18 - 0 | sentence_idx: 103729 | align_1: 21-20 | align_2: 22-24 | ner_entity: FEDS-FEDS |    We had received much information from various groups that they were real , but we did not have anything from the FEDS stating as such ( FRB ) . ||| Wir hatten viele Informationen von unterschiedlichen Gruppen bekommen , dass sie echt waren , aber wir hatten nichts von den FEDS , als die Erklärung als solche ( FRB ) .

Culhuacan culhuacan | w_freq: 2 - 1 | wiki_freq: 91 - 0 | sentence_idx: 104073 | align_1: 11-8 | align_2: 12-14 | ner_entity: Culhuacan-none |    They began to acquire as much culture as they could from Culhuacan : they took and married Culhuacan women , so that those women could teach their children . ||| Sie bekamen so viel kultur wie möglich von culhuacan , die sie mitnahmen , und sie heirateten culhuacan-frauen , damit diese frauen ihre kinder unterrichten konnten .

Alamin Alamin | w_freq: 1 - 1 | wiki_freq: 41 - 0 | sentence_idx: 116149 | align_1: 15-11 | align_2: 16-17 | ner_entity: Alamin-none |    We recite them to you in truth ' and Allah wills no injustice to the Alamin . ||| Sie umfassen die Wahrheit und Allah will keine Ungerechtigkeit für die Alamin ( Menschheit und Dschinn ) .

Seong-ho Seong-ho | w_freq: 2 - 2 | wiki_freq: 45 - 4 | sentence_idx: 127038 | align_1: 2-2 | align_2: 3-7 | ner_entity: Seong-ho-Seong-ho |    But , Seong-ho , I understand you still keep those old crutches as a reminder of how far you 've come . ||| Aber , Seong-ho , wie ich höre , behalten Sie immer noch diese alten Krücken , um daran zu erinnern , wie weit Sie gekommen sind .

immonow immonow | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 131450 | align_1: 8-9 | align_2: 9-13 | ner_entity: immonow-immonow |    Our team of professionals in various fields make immonow what it is . ||| Unser Team aus Profis in den verschiedensten Bereichen machen immonow zu dem , was es ist .

OpenX OpenX | w_freq: 1 - 1 | wiki_freq: 25 - 1 | sentence_idx: 158441 | align_1: 9-8 | align_2: 10-13 | ner_entity: OpenX-OpenX |    “ I am thrilled to welcome Paul Ryan to OpenX to lead our incredibly talented engineering team . ||| „ Ich freue mich , Paul Ryan bei OpenX begrüßen zu dürfen , um unser unglaublich talentiertes Ingenieurteam zu leiten .

Decretal Decretal | w_freq: 1 - 2 | wiki_freq: 23 - 1 | sentence_idx: 161684 | align_1: 7-6 | align_2: 8-11 | ner_entity: Directa Decretal-Directa Decretal |    This law was reinforced in the Directa Decretal ( 385 ) and at the Council of Carthage in 390 . ||| Dieses Gesetz war verstärkt in Directa Decretal ( Directa Decretal ) ( 385 ) und an Council of Carthage ( Rat von Carthage ) in 390.

Minatom Minatom | w_freq: 1 - 1 | wiki_freq: 11 - 9 | sentence_idx: 180184 | align_1: 9-9 | align_2: 10-13 | ner_entity: Minatom-Minatom |    In Russia , the Ministry of Atomic Energy ( Minatom ) is responsible for 31 nuclear reactors which generate about 16 % of its electricity . ||| In Russia , the Ministry of Atomic Energy ( Minatom ( Minute-Atom ) ) ist verantwortlich für 31 Kernreaktoren , die ungefähr 16 % seine Elektrizität erzeugen .

Bazoocam bazoocam | w_freq: 4 - 2 | wiki_freq: 0 - 0 | sentence_idx: 188451 | align_1: 18-17 | align_2: 19-22 | ner_entity: Bazoocam-bazoocam |    There are many online people who you can chat and it increases your chance to get partners from Bazoocam … ||| Es gibt viele online-leute , die sie chatten können und es erhöht ihre chance , partner von bazoocam zu bekommen , , .

PollPool PollPool | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 242340 | align_1: 9-15 | align_2: 10-19 | ner_entity: PollPool-PollPool |    One key challenge right at the beginning of developing PollPool was to listen to our clients carefully enough . ||| Eine der wichtigsten Herausforderungen , der wir uns gleich am Anfang bei der Entwicklung von PollPool stellen mussten , war , unseren Kunden aufmerksam genug zuzuhören .

HFSC HFSC | w_freq: 1 - 1 | wiki_freq: 24 - 1 | sentence_idx: 249395 | align_1: 5-5 | align_2: 6-9 | ner_entity: HFSC-HFSC |    Do n't change this to HFSC unless you know what you 're doing . ||| Ändern Sie dies nicht in HFSC , es sei denn , Sie wissen , was Sie tun .

Rajapaksas Rajapaksas | w_freq: 1 - 1 | wiki_freq: 29 - 43 | sentence_idx: 254379 | align_1: 17-17 | align_2: 18-22 | ner_entity: Rajapaksas-none |    The 18th Amendment has thus rendered corrupt electoral practices partially legal , making it easier for the Rajapaksas to win elections . ||| Die 18. Änderung der Verfassung hat korrupte Wahlpraktiken teilweise legal gemacht , wodurch es einfacher für die Rajapaksas geworden ist , Wahlen zu gewinnen .

Cyberkinetics Cyberkinetics | w_freq: 1 - 1 | wiki_freq: 18 - 0 | sentence_idx: 259982 | align_1: 16-10 | align_2: 17-15 | ner_entity: Cyberkinetics-none |    In 2006 he decided that he would like to move away from the physiological approach of Cyberkinetics to a more emotional and spiritual approach . ||| 2006 entschied er , sich von dem physiologischen Ansatz von Cyberkinetics etwas zu entfernen , hin zu einem mehr emotionalen und spirituellen Ansatz .

penn penn | w_freq: 2 - 10 | wiki_freq: 60 - 4 | sentence_idx: 267410 | align_1: 36-36 | align_2: 37-42 | ner_entity: kal penn-kal penn |    It ’s time to keep working toward creating a more representative culture in our country for people of all backgrounds , and we ’re so excited to do that with amazing , super-smart people like kal penn helping to lead the way . ||| Es ist zeit , weiter daran zu arbeiten , eine repräsentativere kultur in unserem land für menschen aller herkunft zu schaffen , und wir sind so aufgeregt , dies mit erstaunlichen , superklugen leuten wie kal penn zu tun , die dabei helfen , den weg zu weisen .

BS2005 BS2005 | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 283479 | align_1: 10-9 | align_2: 11-17 | ner_entity: BS2005-BS2005 |    However , when you get infected with the likes of BS2005 , it might take a while before you even realize that something is wrong with your system . ||| Jedoch , wenn Sie infiziert mit den gleichen von BS2005 ( auch bekannt als BS2005 Virus ) , es könnte eine Weile dauern , bevor Sie überhaupt erkennen , dass etwas falsch mit Ihrem system .

Klime Klime | w_freq: 1 - 1 | wiki_freq: 4 - 2 | sentence_idx: 286092 | align_1: 13-14 | align_2: 14-19 | ner_entity: Klime-Klime |    There is obviously a big discrepancy between the number established by Ridgeway and Klime and that from the magazine . ||| Es gibt offensichtlich eine große Diskrepanz zwischen der Zahl , die von Ridgeway und Klime festgestellt worden ist , und der aus einem Magazin .

USCEFA USCEFA | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 296812 | align_1: 15-18 | align_2: 16-28 | ner_entity: USCEFA-USCEFA |    They also match the goals of the United States Coalition for Education for All ( USCEFA ) which helps link our national education system to the international system . ||| Sie passen auch zu den Zielen der „ United States Coalition for Education for All ” ) ( USCEFA ) ( „ US-Koalition – Bildung für alle ” ) , die dabei hilft , unser nationales Bildungssystem mit dem internationalen System zu verbinden .

Bugko Bugko | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 296888 | align_1: 6-5 | align_2: 7-10 | ner_entity: Bugko-Bugko |    They will benefit our patients in Bugko as patients with visual disturbances come to us every day . ||| Sie werden unseren Patienten in Bugko zu Gute kommen , da täglich Patienten mit Sehstörungen zu uns kommen .

SCP-699 SCP-699 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 331710 | align_1: 12-10 | align_2: 13-15 | ner_entity: SCP-699-SCP-699 |    These observers do not exhibit any desire to release the contents of SCP-699 . ||| Diese Beobachter weisen kein Verlangen danach , den Inhalt von SCP-699 zu entlassen , auf .

Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 353783 | align_1: 7-5 | align_2: 8-9 | ner_entity: Magento-specialists-none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 !

al-Ahzab Al-Ahzab | w_freq: 1 - 1 | wiki_freq: 9 - 2 | sentence_idx: 356838 | align_1: 10-9 | align_2: 11-19 | ner_entity: al-Ahzab-Al-Ahzab |    I fear for you the like of the day of al-Ahzab , the like of the people of Noah , of ‘ Ad , of Thamud , and of those who came after them . ||| Ich fürchte für euch Gleiches wie den Tag von Al-Ahzab < ref group="A " name = Ahzab / > , ( 31 ) wie die Gewohnheit der Leute von Noah , von ' Aad und von Thamud und denjenigen nach ihnen .

IDAHOT IDAHOT | w_freq: 1 - 1 | wiki_freq: 23 - 6 | sentence_idx: 363602 | align_1: 14-15 | align_2: 15-22 | ner_entity: IDAHOT-IDAHOT |    It also supports external events such as National Student Pride , our own annual IDAHOT event , and of course – London Pride . ||| Das Komitee unterstützt auch externe Veranstaltungen wie den National Student Pride , unsere eigene jährliche IDAHOT ( Internationaler Tag gegen Homophobie ) Veranstaltung und natürlich – London Pride .

Value-INchange INchange | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 363904 | align_1: 12-14 | align_2: 13-21 | ner_entity: Universal Value-INchange-I and Universal Value INchange |    4 : Taking back our own value by introducing I and Universal Value-INchange . ||| 4 : Rücknahme unseres eigenen Wertes durch Einführung von „ I and Universal Value INchange ( Ich und Universeller Werte-EINtausch ) .

Ratscrew Ratscrew | w_freq: 1 - 2 | wiki_freq: 9 - 0 | sentence_idx: 376866 | align_1: 6-5 | align_2: 7-11 | ner_entity: Egyptian Ratscrew-none |    The game is related to Egyptian Ratscrew and is also sometimes known as Heart Attack . ||| Das Spiel ist mit ägyptischem Ratscrew ( Ägyptischer Ratscrew ) verbunden und ist auch manchmal als Herzanfall bekannt .

Saqar Saqar | w_freq: 16 - 15 | wiki_freq: 30 - 1 | sentence_idx: 377344 | align_1: 4-7 | align_2: 5-12 | ner_entity: Saqar-Saqar |    Do you know what Saqar is ? ||| Und wie kannst du wissen , was Saqar ( das Höllenfeuer ) ist ?

Psellus Psellus | w_freq: 1 - 2 | wiki_freq: 76 - 3 | sentence_idx: 391868 | align_1: 4-6 | align_2: 5-11 | ner_entity: Michael Psellus-Michael Psellus |    Passages referring to Michael Psellus ( end of the 11th century ) are considered later interpolations . ||| Durchgänge , die sich auf Michael Psellus ( Michael Psellus ) ( Ende des 11. Jahrhunderts ) beziehen , werden als spätere Interpolationen betrachtet .

SPONSOR.ME SPONSOR.ME | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 401718 | align_1: 9-7 | align_2: 10-12 | ner_entity: SPONSOR.ME-SPONSOR.ME |    The greeting will be visible to other users of SPONSOR.ME unless you choose " Anonymous " . ||| Die Begrüßung ist für andere Benutzer von SPONSOR.ME sichtbar , es sei denn , Sie wählen " Anonymous " .

Kwasnevsky Kwasnevsky | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 418889 | align_1: 8-8 | align_2: 9-13 | ner_entity: Kwasnevsky-Kwasnevsky |    Yesterday in the evening we recalled with President Kwasnevsky the facts proving the existence of economic and commercial relationships between Poland and Azerbaijan in the course of many centuries . ||| Gestern Abend erinnerten wir uns - Herr Präsident Kwasnevsky und ich - an die Tatsachen , die eine Existenz von wirtschaftlichen und kommerziellen Beziehungen zwischen Polen und Aserbaidschan im Laufe vieler Jahrhunderte beweisen .

Kronopol Kronopol | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 420191 | align_1: 13-12 | align_2: 14-18 | ner_entity: Kronopol-Kronopol |    It is worth considering one of the well-known manufacturers in our country - Kronopol . ||| Es lohnt sich , einen der bekanntesten Hersteller in unserem Land - Kronopol - in Betracht zu ziehen .

Benalmadena Benalmadena | w_freq: 3 - 3 | wiki_freq: 22 - 6 | sentence_idx: 421887 | align_1: 7-6 | align_2: 8-10 | ner_entity: Benalmadena-Benalmadena |    In IMS we have doctors located in Benalmadena prepared to cover any emergency . ||| In IMS haben wir Ärzte in Benalmadena , die darauf vorbereitet sind , jeden Notfall abzudecken .

Stathers Stathers | w_freq: 1 - 1 | wiki_freq: 7 - 1 | sentence_idx: 428312 | align_1: 1-1 | align_2: 2-6 | ner_entity: Rick Stathers-Rick Stathers |    Rick Stathers : Investment in adaptation solutions is still far too low . ||| Rick Stathers ( Aviva Investors ) — Die Investitionen in Anpassungslösungen sind noch immer viel zu gering .

ChemChina-Bluestar ChemChina-Bluestar | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 467473 | align_1: 10-7 | align_2: 11-13 | ner_entity: ChemChina-Bluestar-ChemChina-Bluestar |    But the most important thing was to make acquisitions for ChemChina-Bluestar long before the Syngenta deal . ||| Das wichtigste war aber , Akquisitionen für ChemChina-Bluestar zu tätigen , und zwar lange vor dem Syngenta-Deal .

TheCatSite TheCatSite | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 475089 | align_1: 6-5 | align_2: 7-11 | ner_entity: TheCatSite-TheCatSite |    Did you receive an email from TheCatSite saying that someone mentioned you ? ||| Haben Sie eine E-Mail von TheCatSite erhalten , in der Sie sagten , dass jemand Sie erwähnt hat ?

Huraira Hurairah | w_freq: 1 - 2 | wiki_freq: 49 - 4 | sentence_idx: 477880 | align_1: 1-2 | align_2: 2-6 | ner_entity: Abu Huraira-Abu Hurairah |    Abu Huraira reported : We were in the company of Allah 's Messenger ( ﷺ ) that we heard a terrible sound . ||| 2. Abu Hurairah ( ra ) berichtete : „ Wir waren in der Gesellschaft des Gesandten Allahs ( s ) als wir ein furchtbares Geräusch hörten .

dieu dieu | w_freq: 1 - 1 | wiki_freq: 82 - 46 | sentence_idx: 511061 | align_1: 1-1 | align_2: 2-6 | ner_entity: none-Mon dieu |    Mon dieu , an idea which Herr Willich himself can only describe in French could not come from a Frenchman ? ||| Mon dieu < Mein Gott > , eine Idee , die Herr Willich selbst nur französisch ausdrücken kann , sollte nicht von einem Franzosen sein ?

Acquia Acquia | w_freq: 12 - 10 | wiki_freq: 51 - 15 | sentence_idx: 518746 | align_1: 8-8 | align_2: 9-13 | ner_entity: Acquia-Acquia |    Learn how state and local governments partner with Acquia to a build an interactive and mobile experience . ||| Erfahren Sie , wie Landes- und Lokalregierungen mit Acquia eine Partnerschaft eingehen , um ein interaktives und mobiles Erlebnis zu entwickeln .

Fir’aoun aun | w_freq: 1 - 7 | wiki_freq: 0 - 16 | sentence_idx: 528536 | align_1: 22-27 | align_2: 23-32 | ner_entity: Fir’aoun-aun |    They said : ( ( This is a great day , Allah saved Moosaa and his people in it , and drowned Fir’aoun and his people . ||| Sie erwiderten , dass dieser ein glücklicher Tag sei , denn an diesem habe Allah seinen Propheten Musa und seine Gemeinschaft errettet , indem Er Fir ’ aun ( den Pharao ) und seine Leute ertränkt hat .

Amadon Amadon | w_freq: 1 - 2 | wiki_freq: 51 - 36 | sentence_idx: 528797 | align_1: 3-3 | align_2: 4-8 | ner_entity: Dean Amadon-Dean Amadon |    1951 with Dean Amadon , " A classification of recent birds " . ||| 1951 mit Dean Amadon ( Dean Amadon ) , " Eine Klassifikation von neuen Vögeln " .

Saqar Saqar | w_freq: 16 - 15 | wiki_freq: 30 - 1 | sentence_idx: 535722 | align_1: 7-7 | align_2: 8-12 | ner_entity: Saqar-Saqar |    And what can let you know What Saqar is ? ||| Und wie kannst du wissen , was Saqar ( das Höllenfeuer ) ist ?

PHILHARMONIC PHILHARMONIC | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 543471 | align_1: 10-9 | align_2: 11-14 | ner_entity: PALESTINE PHILHARMONIC-PALESTINE PHILHARMONIC |    That there was the PALESTINE FOUNDATION FUND and the PALESTINE PHILHARMONIC ? ||| Dass es den PALESTINE FOUNDATION FUND und das PALESTINE PHILHARMONIC ( Orchestra ) gab ?

X39 X39 | w_freq: 6 - 6 | wiki_freq: 17 - 9 | sentence_idx: 550616 | align_1: 17-12 | align_2: 18-17 | ner_entity: X39-X39 |    I would like to say thank you to David Schmidt for giving me the opportunity to use X39 and share my results with everyone . ’ ||| Ich möchte mich bei David Schmidt für die Gelegenheit bedanken , das X39 verwenden zu können , und will meine Ergebnisse mit allen teilen . ‘

Aristovoulou Aristovoulou | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 556964 | align_1: 6-5 | align_2: 7-11 | ner_entity: Antony Aristovoulou-Antony Aristovoulou |    I was glad to meet Antony Aristovoulou who has worked for several sports collections . ||| Ich bin froh , Antony Aristovoulou kennen gelernt zu haben , der schon für einige Sportsammlungen gearbeitet hat .

Scout24 Scout24 | w_freq: 5 - 5 | wiki_freq: 6 - 65 | sentence_idx: 584243 | align_1: 4-3 | align_2: 5-7 | ner_entity: Scout24-Scout24 |    All of this makes Scout24 what it is today : a strong partner enabling people to make the best decision of their lives . ||| All das macht Scout24 zu dem , was es heute ist : Ein starker Partner für die besten Entscheidungen des Lebens .

Scusi Scusi | w_freq: 1 - 1 | wiki_freq: 11 - 5 | sentence_idx: 609091 | align_1: 6-8 | align_2: 7-12 | ner_entity: Porto Scusi-Porto Scusi |    Its name probably derives from Porto Scusi which means ' hidden port . ||| Sein Name leitet sich wahrscheinlich von " Porto Scusi " ab , was " versteckter Hafen " bedeutet .

Saint-Georges-d'Espéranche Saint-Georges-d'Espéranche | w_freq: 1 - 1 | wiki_freq: 7 - 1 | sentence_idx: 612719 | align_1: 20-19 | align_2: 21-27 | ner_entity: Saint-Georges-d'Espéranche-Saint-Georges-d'Espéranche |    Legends were discredited , and in the case of James of Saint George it was proven that he came from Saint-Georges-d'Espéranche , in France . ||| Legenden wurden bezweifelt , und im Fall von James von Saint George wurde es bewiesen , dass er aus Saint-Georges-d'Espéranche ( Heiliger - Georges-d ' Espéranche ) , in Frankreich kam .

