Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 1636 | align_1: 7-5 | align_2: 8-9 | ner_entity: Magento-specialists-none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 !

FEDS FEDS | w_freq: 2 - 2 | wiki_freq: 18 - 0 | sentence_idx: 2063 | align_1: 21-20 | align_2: 22-24 | ner_entity: FEDS-FEDS |    We had received much information from various groups that they were real , but we did not have anything from the FEDS stating as such ( FRB ) . ||| Wir hatten viele Informationen von unterschiedlichen Gruppen bekommen , dass sie echt waren , aber wir hatten nichts von den FEDS , als die Erklärung als solche ( FRB ) ..

non-Deuteronomic non-Deuteronomic | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 3396 | align_1: 14-14 | align_2: 15-21 | ner_entity: non-Deuteronomic-none |    1 - 43 , 48 - 52 , xxxiv . must be separated as non-Deuteronomic . ||| 1 - 43 , 48 - 52 , XXXIV . must be separated as non-Deuteronomic . müssen getrennt werden als Nicht-Deuteronomic .

HealthCare.gov HealthCare.gov | w_freq: 2 - 2 | wiki_freq: 94 - 0 | sentence_idx: 15299 | align_1: 7-6 | align_2: 8-11 | ner_entity: HealthCare.gov-HealthCare.gov |    “ They ’ve also provided tools at HealthCare.gov to inform patients of their insurance and cost assistance options and prepare them to enroll in a plan beginning in 2014 . ||| " Sie haben auch Tools bei HealthCare.gov zur Verfügung gestellt , um Patienten über ihre Versicherungs- und Kostenunterstützungsoptionen zu informieren und sie darauf vorzubereiten , sich ab 2014 in einen Plan einzuschreiben .

Korah Korah | w_freq: 12 - 13 | wiki_freq: 379 - 13 | sentence_idx: 16932 | align_1: 0-0 | align_2: 1-4 | ner_entity: Korah-Korah |    Korah was a man from the people of Moses . ||| Korah ( Qarûn ) gehörte zum Volk von Moses .

Millennials Millennials | w_freq: 75 - 175 | wiki_freq: 586 - 44 | sentence_idx: 25373 | align_1: 10-10 | align_2: 11-15 | ner_entity: Millennials-none |    So how do we “ fix ” the problem of Millennials leaving the church ? ||| Wie Können Wir auch " Fix " Das Problem der Millennials , sterben Kirche zu Verlassen ?

Dân Dân | w_freq: 1 - 2 | wiki_freq: 319 - 22 | sentence_idx: 25742 | align_1: 1-1 | align_2: 2-6 | ner_entity: Nhân Dân-Nhân Dân |    Nhân Dân ( The People ) and the Xinhua News Agency are the only foreign media organisations permitted so far to open offices in Laos . ||| Nhân Dân ( Nhân Dân ) ( Die Leute ) und die Xinhua Nachrichtenagentur ( Xinhua Nachrichtenagentur ) sind die einzigen ausländischen Mediaorganisationen erlaubt bis jetzt , Büros in Laos zu öffnen .

Cialis Cialis | w_freq: 39 - 41 | wiki_freq: 105 - 12 | sentence_idx: 28546 | align_1: 6-5 | align_2: 7-11 | ner_entity: Cialis-Cialis |    How often can I take generic Cialis regarding the fact that I am over 56 ? ||| Wie oft kann ich ein Cialis Generikum zu mir nehmen , wenn ich schon älter als 56 Jahre alt bin ?

my-GREENstyle.com my-GREENstyle.com | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 32774 | align_1: 12-11 | align_2: 13-16 | ner_entity: my-GREENstyle.com-my-GREENstyle.com |    Mirjam takes care of the content and Florens about everything that makes my-GREENstyle.com what it is . ||| Mirjam kümmert um die Inhalte und Florens um alles , was my-GREENstyle.com zu dem macht , was es ist .

Cuju Cuju | w_freq: 1 - 1 | wiki_freq: 87 - 13 | sentence_idx: 34776 | align_1: 0-0 | align_2: 1-4 | ner_entity: Cuju-Cuju |    Cuju is a very old football game : ||| Cuju ( cuju ) ist ein sehr altes Fußballspiel :

Vitae Vitae | w_freq: 18 - 17 | wiki_freq: 832 - 332 | sentence_idx: 52373 | align_1: 7-7 | align_2: 8-12 | ner_entity: Humanae Vitae-Humanae Vitae |    Just repeating the official line of Humanae Vitae was no help . ||| Nur die offizielle Linie von „ Humanae Vitae “ zu wiederholen , war keine Hilfe .

OnLogic OnLogic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 53555 | align_1: 5-5 | align_2: 6-10 | ner_entity: OnLogic-OnLogic |    “ We enjoy working with OnLogic for a variety of reasons : First , their computers are energy-efficient , quiet , easy to mount , and extremely reliable . ||| „ Wir arbeiten gerne mit OnLogic zusammen , und zwar aus verschiedenen Gründen : Erstens sind Ihre Computer energieeffizient , leise , leicht zu montieren und unglaublich zuverlässig .

Yeshua Jeschua | w_freq: 25 - 11 | wiki_freq: 361 - 58 | sentence_idx: 54340 | align_1: 0-0 | align_2: 1-4 | ner_entity: Yeshua-Jeschua |    Yeshua taught us to be " pro-active " in both directions . ||| Jeschua ( Jesus ) lehrte uns , in beide Richtungen “ pro-aktiv ” zu sein .

Debelic Debelic | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 55560 | align_1: 20-17 | align_2: 21-21 | ner_entity: Danijela Debelic-Danijela Debelic |    For this purpose , we also offer the possibility of an internet conference with our therapist or our doctor Danijela Debelic to develop solutions or use these dates as a quick intervention . ||| Hierzu bieten wir auch die Möglichkeit über eine Internetkonferenz mit unseren Therapeuten oder unserer Ärztin Dr. Danijela Debelic zu sprechen , um gemeinsam Lösungen zu erarbeiten oder diese Termine als Kurzintervention zu nutzen .

Peronism Peronismus | w_freq: 3 - 2 | wiki_freq: 502 - 117 | sentence_idx: 74078 | align_1: 18-21 | align_2: 19-26 | ner_entity: Peronism-none |    Argentine history shows that in situations like this the political dynamic depends on how long it takes for Peronism to unify and decide where it wants to go . ||| Die Geschichte Argentiniens zeigt uns , dass in Situationen wie dieser die politische Dynamik von der Zeit abhängt , die der Peronismus braucht , um sich zu vereinen und zu entscheiden , wohin er gehen will .

mix-marry al-Masĩh | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 78816 | align_1: 7-9 | align_2: 8-18 | ner_entity: none-al-Masĩh |    Unbelievers could not Lawfully cohabitate with and mix-marry among Israelites . ||| Und es gab keinen von den Israeliten , und al-Masĩh ( Jesus ) miteinbegriffen , die jegliche Beziehungen zu Faran hatten .

RebelionBus RebelionBus | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 79535 | align_1: 9-8 | align_2: 10-13 | ner_entity: Operation # RebelionBus-RebelionBus |    The most recent one , called “ Operation # RebelionBus , ” occurred on Wednesday , February 1 . ||| Die letzte , die sogenannte “ Operation # RebelionBus ” [ es ] , fand am Mittwoch , dem 1. Februar , statt .

DADs DADs | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 84229 | align_1: 2-1 | align_2: 3-5 | ner_entity: none-DADs |    Hold the DADs where the participants work to minimize obstacles for participation ||| Halte DADs dort ab , wo die Teilnehmer arbeiten , um Hindernisse für die Teilnahme zu minimieren .

Ibaadah Ghafur | w_freq: 2 - 1 | wiki_freq: 1 - 19 | sentence_idx: 91122 | align_1: 1-2 | align_2: 2-7 | ner_entity: none-Ghafur ( Nachsichtige |    The Ibaadah of the free ones is the Ibaadah of those who are grateful . ” ||| Namensgebung : Ghafur ( Nachsichtige ) al-Schakur der Dankbare , der Vergelter ,

G-d G-tt | w_freq: 17 - 15 | wiki_freq: 132 - 3 | sentence_idx: 99903 | align_1: 13-16 | align_2: 14-20 | ner_entity: G-d-G-tt |    One Rabbi actually said G-d spoke to him and said that he , G-d was about to destroy the Earth because everyone on the Earth was evil . ||| Ein Rabbi sagte tatsächlich , G-tt habe zu ihm gesprochen und gesagt , daß er , G-tt , kurz davor stünde , die Erde zu vernichten , weil jeder auf Erde böse war .

EGF EGF | w_freq: 83 - 62 | wiki_freq: 539 - 67 | sentence_idx: 103714 | align_1: 3-2 | align_2: 4-6 | ner_entity: EGF-EGF |    assistance from the EGF . ||| fonds ( EGF ) zu erhalten .

FEDS FEDS | w_freq: 2 - 2 | wiki_freq: 18 - 0 | sentence_idx: 103729 | align_1: 21-20 | align_2: 22-24 | ner_entity: FEDS-FEDS |    We had received much information from various groups that they were real , but we did not have anything from the FEDS stating as such ( FRB ) . ||| Wir hatten viele Informationen von unterschiedlichen Gruppen bekommen , dass sie echt waren , aber wir hatten nichts von den FEDS , als die Erklärung als solche ( FRB ) .

Culhuacan culhuacan | w_freq: 2 - 1 | wiki_freq: 91 - 0 | sentence_idx: 104073 | align_1: 11-8 | align_2: 12-14 | ner_entity: Culhuacan-none |    They began to acquire as much culture as they could from Culhuacan : they took and married Culhuacan women , so that those women could teach their children . ||| Sie bekamen so viel kultur wie möglich von culhuacan , die sie mitnahmen , und sie heirateten culhuacan-frauen , damit diese frauen ihre kinder unterrichten konnten .

Dominance Dominance | w_freq: 8 - 3 | wiki_freq: 838 - 44 | sentence_idx: 108740 | align_1: 16-16 | align_2: 17-27 | ner_entity: Global Battlespace Dominance-Global Battlespace Dominance |    We can do this through what the advocates of this program originally called " Global Battlespace Dominance . " ||| Wir können dies mit dem erreichen , was die Befürworter des Programms ursprünglich » Global Battlespace Dominance « ( Dominanz auf dem globalen Schlachtfeld ) genannt haben .

Alamin Alamin | w_freq: 1 - 1 | wiki_freq: 41 - 0 | sentence_idx: 116149 | align_1: 15-11 | align_2: 16-17 | ner_entity: Alamin-none |    We recite them to you in truth ' and Allah wills no injustice to the Alamin . ||| Sie umfassen die Wahrheit und Allah will keine Ungerechtigkeit für die Alamin ( Menschheit und Dschinn ) .

Seong-ho Seong-ho | w_freq: 2 - 2 | wiki_freq: 45 - 4 | sentence_idx: 127038 | align_1: 2-2 | align_2: 3-7 | ner_entity: Seong-ho-Seong-ho |    But , Seong-ho , I understand you still keep those old crutches as a reminder of how far you 've come . ||| Aber , Seong-ho , wie ich höre , behalten Sie immer noch diese alten Krücken , um daran zu erinnern , wie weit Sie gekommen sind .

ICO ICO | w_freq: 155 - 122 | wiki_freq: 878 - 130 | sentence_idx: 129457 | align_1: 5-4 | align_2: 6-10 | ner_entity: none-ICO |    “ We ’ve architected our ICO acknowledging that we ’re a security . ||| " Wir haben unser ICO so gestaltet , dass wir anerkennen , dass wir eine Sicherheit sind .

immonow immonow | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 131450 | align_1: 8-9 | align_2: 9-13 | ner_entity: immonow-immonow |    Our team of professionals in various fields make immonow what it is . ||| Unser Team aus Profis in den verschiedensten Bereichen machen immonow zu dem , was es ist .

IPPF IPPF | w_freq: 21 - 15 | wiki_freq: 101 - 22 | sentence_idx: 138115 | align_1: 22-26 | align_2: 23-32 | ner_entity: IPPF-IPPF |    I was also privileged to work alongside Will Zrnchik , who devoted countless hours towards our patients and community to make the IPPF what it is today . ||| Ich hatte auch das Privileg , mit Will Zrnchik zusammen zu arbeiten , der unzählige Stunden unseren Patienten und unserer Gemeinschaft gewidmet hat , um die IPPF zu dem zu machen , was sie heute ist .

Healthsuggests health | w_freq: 1 - 50 | wiki_freq: 0 - 267 | sentence_idx: 148095 | align_1: 9-10 | align_2: 10-14 | ner_entity: National Institutes of Healthsuggests-national institutes of health |    In fact , research from the National Institutes of Healthsuggests that there are five specific alcoholism subtypes . ||| In der tat deutet die forschung der national institutes of health darauf hin , dass es fünf spezifische alkoholismus-subtypen gibt .

OpenX OpenX | w_freq: 1 - 1 | wiki_freq: 25 - 1 | sentence_idx: 158441 | align_1: 9-8 | align_2: 10-13 | ner_entity: OpenX-OpenX |    “ I am thrilled to welcome Paul Ryan to OpenX to lead our incredibly talented engineering team . ||| „ Ich freue mich , Paul Ryan bei OpenX begrüßen zu dürfen , um unser unglaublich talentiertes Ingenieurteam zu leiten .

Decretal Decretal | w_freq: 1 - 2 | wiki_freq: 23 - 1 | sentence_idx: 161684 | align_1: 7-6 | align_2: 8-11 | ner_entity: Directa Decretal-Directa Decretal |    This law was reinforced in the Directa Decretal ( 385 ) and at the Council of Carthage in 390 . ||| Dieses Gesetz war verstärkt in Directa Decretal ( Directa Decretal ) ( 385 ) und an Council of Carthage ( Rat von Carthage ) in 390.

BusinessWeek BusinessWeek | w_freq: 2 - 1 | wiki_freq: 704 - 31 | sentence_idx: 173424 | align_1: 9-8 | align_2: 10-12 | ner_entity: BusinessWeek-BusinessWeek |    In 2008 , Owen was ranked # 30 by BusinessWeek . ||| 2008 , Owen war aufgereihter # 30 durch BusinessWeek ( Geschäftswoche ) .

Minatom Minatom | w_freq: 1 - 1 | wiki_freq: 11 - 9 | sentence_idx: 180184 | align_1: 9-9 | align_2: 10-13 | ner_entity: Minatom-Minatom |    In Russia , the Ministry of Atomic Energy ( Minatom ) is responsible for 31 nuclear reactors which generate about 16 % of its electricity . ||| In Russia , the Ministry of Atomic Energy ( Minatom ( Minute-Atom ) ) ist verantwortlich für 31 Kernreaktoren , die ungefähr 16 % seine Elektrizität erzeugen .

Bazoocam bazoocam | w_freq: 4 - 2 | wiki_freq: 0 - 0 | sentence_idx: 188451 | align_1: 18-17 | align_2: 19-22 | ner_entity: Bazoocam-bazoocam |    There are many online people who you can chat and it increases your chance to get partners from Bazoocam … ||| Es gibt viele online-leute , die sie chatten können und es erhöht ihre chance , partner von bazoocam zu bekommen , , .

Landowska Landowska | w_freq: 1 - 2 | wiki_freq: 151 - 73 | sentence_idx: 193202 | align_1: 8-7 | align_2: 9-12 | ner_entity: Wanda Landowska-Wanda Landowska |    Both of these works were written with Wanda Landowska in mind . ||| Beide diese Arbeiten waren geschrieben mit Wanda Landowska ( Wanda Landowska ) im Sinn .

NTFS NTFS | w_freq: 6 - 6 | wiki_freq: 642 - 155 | sentence_idx: 213615 | align_1: 6-5 | align_2: 7-9 | ner_entity: none-NTFS |    As for File system : choose NTFS unless you have a specific need to choose another file system . ||| Für Dateisystem : Wählen Sie NTFS , es sei denn , Sie haben eine bestimmte Notwendigkeit , ein anderes Dateisystem auszuwählen .

Goodacre Goodacre | w_freq: 2 - 2 | wiki_freq: 269 - 33 | sentence_idx: 223014 | align_1: 2-3 | align_2: 3-8 | ner_entity: Mark Goodacre-Mark Goodacre |    However Mark Goodacre and other scholars have questioned the existence of a Q document . ||| Jedoch hat Mark Goodacre ( Mark Goodacre ) und andere Gelehrte die Existenz eines Q Dokumentes infrage gestellt .

NAIRU NAIRU | w_freq: 3 - 3 | wiki_freq: 121 - 12 | sentence_idx: 224351 | align_1: 7-5 | align_2: 8-13 | ner_entity: none-NAIRU |    One of the major problems with the NAIRU theory is that no one knows exactly what the NAIRU is ( while it clearly changes over time ) . ||| Eines der Hauptprobleme mit dem NAIRU ( N ICH R U ) besteht Theorie darin , dass keiner genau weiß , was der NAIRU ist ( während es sich klar mit der Zeit ändert ) .

PollPool PollPool | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 242340 | align_1: 9-15 | align_2: 10-19 | ner_entity: PollPool-PollPool |    One key challenge right at the beginning of developing PollPool was to listen to our clients carefully enough . ||| Eine der wichtigsten Herausforderungen , der wir uns gleich am Anfang bei der Entwicklung von PollPool stellen mussten , war , unseren Kunden aufmerksam genug zuzuhören .

Navigators Navigators | w_freq: 3 - 1 | wiki_freq: 825 - 175 | sentence_idx: 246351 | align_1: 7-5 | align_2: 8-11 | ner_entity: Navigators-The Navigators |    Kurtis and Julia will also represent the Navigators in Belgium . ||| Kurtis und Julia werden The Navigators ( die Navigatoren ) auch in Belgien vertreten .

HFSC HFSC | w_freq: 1 - 1 | wiki_freq: 24 - 1 | sentence_idx: 249395 | align_1: 5-5 | align_2: 6-9 | ner_entity: HFSC-HFSC |    Do n't change this to HFSC unless you know what you 're doing . ||| Ändern Sie dies nicht in HFSC , es sei denn , Sie wissen , was Sie tun .

Rajapaksas Rajapaksas | w_freq: 1 - 1 | wiki_freq: 29 - 43 | sentence_idx: 254379 | align_1: 17-17 | align_2: 18-22 | ner_entity: Rajapaksas-none |    The 18th Amendment has thus rendered corrupt electoral practices partially legal , making it easier for the Rajapaksas to win elections . ||| Die 18. Änderung der Verfassung hat korrupte Wahlpraktiken teilweise legal gemacht , wodurch es einfacher für die Rajapaksas geworden ist , Wahlen zu gewinnen .

WordPress WordPress | w_freq: 155 - 77 | wiki_freq: 674 - 173 | sentence_idx: 254761 | align_1: 5-5 | align_2: 6-9 | ner_entity: WordPress-WordPress |    Flexibility : Its scalability makes WordPress what it is ! ||| Flexibilität : Die Skalierbarkeit macht WordPress zu dem , was es ist !

Cyberkinetics Cyberkinetics | w_freq: 1 - 1 | wiki_freq: 18 - 0 | sentence_idx: 259982 | align_1: 16-10 | align_2: 17-15 | ner_entity: Cyberkinetics-none |    In 2006 he decided that he would like to move away from the physiological approach of Cyberkinetics to a more emotional and spiritual approach . ||| 2006 entschied er , sich von dem physiologischen Ansatz von Cyberkinetics etwas zu entfernen , hin zu einem mehr emotionalen und spirituellen Ansatz .

penn penn | w_freq: 2 - 10 | wiki_freq: 60 - 4 | sentence_idx: 267410 | align_1: 36-36 | align_2: 37-42 | ner_entity: kal penn-kal penn |    It ’s time to keep working toward creating a more representative culture in our country for people of all backgrounds , and we ’re so excited to do that with amazing , super-smart people like kal penn helping to lead the way . ||| Es ist zeit , weiter daran zu arbeiten , eine repräsentativere kultur in unserem land für menschen aller herkunft zu schaffen , und wir sind so aufgeregt , dies mit erstaunlichen , superklugen leuten wie kal penn zu tun , die dabei helfen , den weg zu weisen .

Hammad Hammad | w_freq: 3 - 3 | wiki_freq: 668 - 133 | sentence_idx: 273808 | align_1: 14-13 | align_2: 15-18 | ner_entity: Fathi Hammad-Fathi Hammad |    Hamas 's true intentions were expressed by one of its senior leaders , Fathi Hammad . ||| Die wahren Absichten der Hamas wurden von einem ihrer führenden Führer , Fathi Hammad , zum Ausdruck gebracht .

BS2005 BS2005 | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 283479 | align_1: 10-9 | align_2: 11-17 | ner_entity: BS2005-BS2005 |    However , when you get infected with the likes of BS2005 , it might take a while before you even realize that something is wrong with your system . ||| Jedoch , wenn Sie infiziert mit den gleichen von BS2005 ( auch bekannt als BS2005 Virus ) , es könnte eine Weile dauern , bevor Sie überhaupt erkennen , dass etwas falsch mit Ihrem system .

Klime Klime | w_freq: 1 - 1 | wiki_freq: 4 - 2 | sentence_idx: 286092 | align_1: 13-14 | align_2: 14-19 | ner_entity: Klime-Klime |    There is obviously a big discrepancy between the number established by Ridgeway and Klime and that from the magazine . ||| Es gibt offensichtlich eine große Diskrepanz zwischen der Zahl , die von Ridgeway und Klime festgestellt worden ist , und der aus einem Magazin .

Sirri Sirri | w_freq: 1 - 2 | wiki_freq: 154 - 36 | sentence_idx: 288208 | align_1: 26-18 | align_2: 27-23 | ner_entity: Sirri-Sirri |    The company also signed a total of five new production sharing contracts ( PSCs ) in 1998 and 1999 , and began oil production in the Sirri field in Iran . ||| Gesellschaft unterzeichnete auch insgesamt fünf neue Produktionsteilen-Verträge ( PSCs ) 1998 und 1999 , und begann Erdölgewinnung in Sirri ( Sirri Insel ) Feld im Iran .

USCEFA USCEFA | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 296812 | align_1: 15-18 | align_2: 16-28 | ner_entity: USCEFA-USCEFA |    They also match the goals of the United States Coalition for Education for All ( USCEFA ) which helps link our national education system to the international system . ||| Sie passen auch zu den Zielen der „ United States Coalition for Education for All ” ) ( USCEFA ) ( „ US-Koalition – Bildung für alle ” ) , die dabei hilft , unser nationales Bildungssystem mit dem internationalen System zu verbinden .

Bugko Bugko | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 296888 | align_1: 6-5 | align_2: 7-10 | ner_entity: Bugko-Bugko |    They will benefit our patients in Bugko as patients with visual disturbances come to us every day . ||| Sie werden unseren Patienten in Bugko zu Gute kommen , da täglich Patienten mit Sehstörungen zu uns kommen .

Gasan Gasan | w_freq: 1 - 1 | wiki_freq: 138 - 12 | sentence_idx: 297808 | align_1: 4-4 | align_2: 5-9 | ner_entity: Gasan-Gasan |    A university student asked Gasan , " have you ever read the Christian Bible ? " ||| Ein Universitätsstudent , der Gasan besuchte , fragte ihn : " Haben Sie jemals die christliche Bibel gelesen ? "

shivah Shiv | w_freq: 1 - 3 | wiki_freq: 7 - 211 | sentence_idx: 306677 | align_1: 9-9 | align_2: 10-16 | ner_entity: none-Shiv ’ a |    Would anyone even think to prevent Jews from sitting shivah no matter who they were ? ||| Würde jemand daran denken , Juden daran zu hindern Shiv ’ a * zu sitzen , egal wer sie waren ?

Seveso Seveso | w_freq: 4 - 4 | wiki_freq: 250 - 100 | sentence_idx: 315721 | align_1: 14-10 | align_2: 15-16 | ner_entity: Seveso-Seveso |    In 1976 , large amounts of dioxins were released in an industrial accident at Seveso , although no immediate human fatalities or birth defects occurred . ||| 1976 wurden große Beträge von Dioxinen bei einem Industrieunfall an Seveso ( Seveso Katastrophe ) veröffentlicht , obwohl keine unmittelbaren menschlichen Schicksalsschläge oder Geburtsdefekte vorkamen .

SERVICE BUNDESSICHERHEITSDIENSTES | w_freq: 4 - 2 | wiki_freq: 295 - 0 | sentence_idx: 324361 | align_1: 12-13 | align_2: 13-18 | ner_entity: FEDERAL SECURITY SERVICE-BUNDESSICHERHEITSDIENSTES |    I specifically appeal to the staff of the Ministry and FEDERAL SECURITY SERVICE , to listen to my calls and read my correspondence – THEY WANT TO KILL YOUR CHILDREN . ||| Ich appelliere spezifisch an die Mitarbeiter und das Personal des Ministeriums und des BUNDESSICHERHEITSDIENSTES ( Föderaler Sicherheitsdienst ) , meinen Anrufen zuzuhören und meine Korrespondenz zu lesen – SIE WOLLEN IHRE KINDER TÖTEN .

SERVICE BUNDESSICHERHEITSDIENSTES | w_freq: 4 - 2 | wiki_freq: 295 - 0 | sentence_idx: 324362 | align_1: 12-13 | align_2: 13-18 | ner_entity: FEDERAL SECURITY SERVICE-BUNDESSICHERHEITSDIENSTES |    I specifically appeal to the staff of the Ministry and FEDERAL SECURITY SERVICE , to listen to my calls and read my correspondence – THEY WANT TO KILL YOUR CHILDREN . ||| Ich appelliere spezifisch an die Mitarbeiter und das Personal des Ministeriums und des BUNDESSICHERHEITSDIENSTES ( Föderaler Sicherheitsdienst ) , meinen Anrufen zuzuhören und meine Korrespondenz zu lesen – SIE WOLLEN IHRE KINDER TÖTEN .

