Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | ner_entity: Golang-none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。

Grascals Grascals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 4533 | align_1: 6-8 | align_2: 6-13 | ner_entity: Grascals-none |    Life Finds A Way – The Grascals ||| 《 Life Finds a Way 》 － The Grascals （ 英语 ： The Grascals ）

X-51A X-51A | w_freq: 2 - 2 | wiki_freq: 21 - 12 | sentence_idx: 17488 | align_1: 5-2 | align_2: 6-7 | ner_entity: X-51A-none |    This is similar to the X-51A Waverider project that was halted in 2013 but not forgotten . ||| 这 与 X-51A “ 乘波者 ” （ Waverider ） 项目 类似 ， 该 项目 于 2013年 停止 ， 但 却 未 被 人们 遗忘 。

HAWKINS 柯曼霍金斯 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 34840 | align_1: 1-0 | align_2: 2-11 | ner_entity: none-柯曼霍金斯 |    COLEMAN HAWKINS : The Hawk Flies High ||| 柯曼霍金斯 : 老鹰 高飞 ( 180 克 LP ) Coleman Hawkins : The Hawk Flies High

Dylos Dylos | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 44564 | align_1: 6-5 | align_2: 7-11 | ner_entity: Dylos-none |    The most famous one is the Dylos Air Particule counter : ||| 其中 最 有名 的 是 Dylos 空气 微粒 计数器 ( Dylos Air Particule counter ) ：

Trautwein：Three Traut | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 55193 | align_1: 2-2 | align_2: 3-7 | ner_entity: Hans Michael Trautwein：Three-none |    Hans Michael Trautwein：Three big questions – and no simple answers , at least not to the first two of them . ||| Hans Michael Traut we in ： 这 三大 问题 没有 简单 的 答案 ， 至少 前 两 个 没有 。

RabbitMQ rabbit | w_freq: 7 - 3 | wiki_freq: 31 - 31 | sentence_idx: 59129 | align_1: 0-0 | align_2: 1-12 | ner_entity: none-rabbit |    RabbitMQ : Who Creates the Queues and Exchanges ? ||| rabbit mq 生产者 创建 队列 还是 消费者 创建 队列 --- RABB ITMQ : WHO CREATES THE QU EUES AND EXCHANGES ?

AAPL AAPL | w_freq: 6 - 4 | wiki_freq: 71 - 3 | sentence_idx: 86409 | align_1: 3-3 | align_2: 4-7 | ner_entity: AAPL-AAPL - Get Report |    Apple Inc. ( AAPL ) had also expressed interest in the company , but he added that the discussions never got particularly serious . ||| Apple Inc. （ AAPL - Get Report ） 也 对 该 公司 表示 了 兴趣 ， 但 他 补充 说 ， 讨论 从未 如此 严重 。

R$E R$E | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 105979 | align_1: 9-9 | align_2: 10-22 | ner_entity: R$E-none |    The Pope has a SHOCKING plan for 2018 ( R$E ) ||| The Pope has a SHOCKING plan for 2016 ( R$E ) 教皇 2016年 有 一个 令 人 震惊 的 计划 （ R$E ）

Colorcon 卡乐康 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 126336 | align_1: 5-3 | align_2: 6-11 | ner_entity: Colorcon-卡乐康 |    As you learn more about Colorcon you will begin to see the impact these have on our culture . ||| 当 您 对 卡乐康 有 了 更 多 了解 后 ， 您 将 会 看到 这些 原则 对 我们 的 企业 文化 所 产生 的 影响 。

Sadhguru Sadhguru | w_freq: 17 - 11 | wiki_freq: 43 - 0 | sentence_idx: 132316 | align_1: 9-8 | align_2: 10-13 | ner_entity: Sadhguru-none |    Transformation and leadership can not be separated , says Sadhguru , as every action of a leader has the power to directly or indirectly transform the lives of many people . ||| 转化 和 领导力 是 无法 分开 的 ， Sadhguru （ 萨古鲁 ） 说 ， 因为 一个 领导者 的 每个 行动 都 具有 直接 或 间接 转化 他人 生命 的 力量 。

Goyim-cattle cattle | w_freq: 2 - 2 | wiki_freq: 0 - 12 | sentence_idx: 182880 | align_1: 16-16 | align_2: 17-20 | ner_entity: Goyim-cattle-none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。

Goyim-cattle goyim | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 182880 | align_1: 16-14 | align_2: 17-20 | ner_entity: Goyim-cattle-none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。

Jadalem Jadalem | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 209707 | align_1: 16-19 | align_2: 17-24 | ner_entity: Jadalem-none |    He saw God for the first time during his second trip , on a planet called Jadalem that ’s mostly covered in water and ice . ||| 他 首次 见到 耶稣 是 在 第二 次 天堂 之 旅 中 ， 当时 他 在 一 颗 名叫 Jadalem 的 星球 上 ， 那 颗 星球 主要 被 水 和 冰所 覆盖 。

Foodette 召嘉 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 222889 | align_1: 3-3 | align_2: 4-9 | ner_entity: Foodette-none |    And grievously hath Foodette answer’d it . ||| 上 大怒 ， 召嘉 诣尚书 ， 以 他 事 责问 。

Eurodad Eurodad | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 228391 | align_1: 15-11 | align_2: 16-19 | ner_entity: Eurodad-none |    [ 12 ] We are not in the habit of engaging in lobbying – unlike Eurodad , another organisation that is mobilised around the issue of debt . ||| [ 11 ] 我们 不 习惯 搞 游说 　 ── 不 像 Eurodad （ 债务 和 发展 欧洲 网络 ） ， 它 是 围绕 债务 问题 动员 起来 的 另 一个 组织 。

Pryda 主悔改 | w_freq: 1 - 1 | wiki_freq: 44 - 0 | sentence_idx: 247280 | align_1: 10-7 | align_2: 11-15 | ner_entity: Pryda-none |    If not called upon , the provision would revert to Pryda . ” ||| 如果 不是 这样 ， 就 应当 向 主悔改 、 祈求 ， 才 有 复兴 临到 。

Glassley Glassley | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 259907 | align_1: 12-9 | align_2: 13-15 | ner_entity: William E. Glassley-none |    “ Very few people have spent as much time as William E. Glassley in such deep wilderness . ||| “ 很少 有人 像 威廉·E·格拉斯利 （ William E . Glassley ） 一样 如此 深入 地 在 荒野 中 度过 这么 长 时间 。

ISHL ISHL | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 265708 | align_1: 17-25 | align_2: 18-32 | ner_entity: ISHL-none |    Japan Existing and New Chemical Substances Inventory ( ENCS ) and Industrial Safety and Health Law ( ISHL ) ||| 日本 Existing and New Chemical Substances Inventory ( ENCS ) （ 现有 和 新 化学 物质 名录 ） 和 Industrial Safety and Health Law ( ISHL ) （ 工业 安全 和 健康法 ）

HotOrNot hotor | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 265998 | align_1: 9-9 | align_2: 10-13 | ner_entity: HotOrNot-none |    Sure , you can put your face up on HotOrNot or buy one of those Ugly iPhone apps to gauge your “ scientific ” attractiveness rating . ||| 当然 ， 你 可以 把 你 的 脸贴 在 hotor not 上 ， 或者 买 一个 丑陋 的 iPhone 应用 来 衡量 你 的 “ 科学 ” 吸引力 。

All-Care 天起誓 | w_freq: 1 - 2 | wiki_freq: 1 - 0 | sentence_idx: 267117 | align_1: 5-7 | align_2: 6-12 | ner_entity: All-Care-none |    Many pet owners swear by All-Care . ||| 所以 很多 毒誓 ， 都 是 对 天起誓 ， 真的 会 灵验 。

Veyne Veyne | w_freq: 1 - 1 | wiki_freq: 46 - 0 | sentence_idx: 268564 | align_1: 1-5 | align_2: 2-10 | ner_entity: Paul Veyne-none |    Paul Veyne , Did the Greeks Believe in Their Myths ? ||| 保罗 ． 韦纳 （ Paul Veyne ） 著 ， 张 竝译︰ 《 古希腊人 是否 相信 他们 的 神话 ︰论 构建 的 想像 》 （ Did the Greeks Believe in Their Myths ?

