Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | ner_entity: Golang-none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。

Grascals Grascals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 4533 | align_1: 6-8 | align_2: 6-13 | ner_entity: Grascals-none |    Life Finds A Way – The Grascals ||| 《 Life Finds a Way 》 － The Grascals （ 英语 ： The Grascals ）

O.W.L.s 盎司 | w_freq: 1 - 64 | wiki_freq: 6 - 733 | sentence_idx: 12413 | align_1: 5-6 | align_2: 6-10 | ner_entity: O.W.L.s-none |    " Maybe he got thirty O.W.L.s or saved a teacher from the giant squid . ||| “ 也许 他 得到 了 三十 盎司   ， 或 救 了 一个 老师 从 巨型 鱿鱼  。

satan 撒旦 | w_freq: 46 - 312 | wiki_freq: 155 - 998 | sentence_idx: 17165 | align_1: 6-6 | align_2: 7-14 | ner_entity: none-撒旦 |    Adam and Eve became servants of satan . ||| 但 亚当 及 夏娃 因 被 撒旦 ( 蛇 ) 的 试探 而 犯罪 。

X-51A X-51A | w_freq: 2 - 2 | wiki_freq: 21 - 12 | sentence_idx: 17488 | align_1: 5-2 | align_2: 6-7 | ner_entity: X-51A-none |    This is similar to the X-51A Waverider project that was halted in 2013 but not forgotten . ||| 这 与 X-51A “ 乘波者 ” （ Waverider ） 项目 类似 ， 该 项目 于 2013年 停止 ， 但 却 未 被 人们 遗忘 。

El-Isa 安拉 | w_freq: 1 - 167 | wiki_freq: 0 - 280 | sentence_idx: 21771 | align_1: 16-7 | align_2: 17-15 | ner_entity: El-Isa-安拉 |    “ There has [ always been ] lots of support from day one , ” said El-Isa . ||| 安拉 以 这些 日子 发誓 ， 正如 安拉 所 说 ： “ 誓 以 黎明 ，

25hours 维斯 | w_freq: 1 - 1 | wiki_freq: 3 - 133 | sentence_idx: 32613 | align_1: 0-1 | align_2: 1-8 | ner_entity: none-里 维斯 25 小时 酒店 |    25hours hotel by levi 's ||| 里 维斯 25 小时 酒店 ( 25 Hours Hotel By Levi'S )

HAWKINS 柯曼霍金斯 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 34840 | align_1: 1-0 | align_2: 2-11 | ner_entity: none-柯曼霍金斯 |    COLEMAN HAWKINS : The Hawk Flies High ||| 柯曼霍金斯 : 老鹰 高飞 ( 180 克 LP ) Coleman Hawkins : The Hawk Flies High

Finne Finne | w_freq: 2 - 2 | wiki_freq: 166 - 0 | sentence_idx: 37597 | align_1: 19-20 | align_2: 20-25 | ner_entity: Eva Finne-none |    In Sweden I am not charged , I have already been previously cleared by the Senior Stockholm Prosecutor Eva Finne . ||| 在 瑞典 ， 我 没有 被 正式 起诉 ， 我 之前 已经 被 ［ 斯德哥尔摩 高级 检察官 夏娃·芬尼 （ Eva Finne ） ］ 消除 嫌疑 。

Dylos Dylos | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 44564 | align_1: 6-5 | align_2: 7-11 | ner_entity: Dylos-none |    The most famous one is the Dylos Air Particule counter : ||| 其中 最 有名 的 是 Dylos 空气 微粒 计数器 ( Dylos Air Particule counter ) ：

Imbabura 因巴布拉 | w_freq: 2 - 2 | wiki_freq: 282 - 5 | sentence_idx: 53794 | align_1: 13-8 | align_2: 14-13 | ner_entity: Imbabura-none |    The missionary organization FEDEPI , on the other hand , estimated one million Imbabura speakers ( published 2006 ) . ||| 另一方面 ， 传教 组织 FEDEPI 估计 有 100万 因巴布拉 （ Imbabura ） 方言 使用者 （ 2006年 发布 ） 。

Trautwein：Three Traut | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 55193 | align_1: 2-2 | align_2: 3-7 | ner_entity: Hans Michael Trautwein：Three-none |    Hans Michael Trautwein：Three big questions – and no simple answers , at least not to the first two of them . ||| Hans Michael Traut we in ： 这 三大 问题 没有 简单 的 答案 ， 至少 前 两 个 没有 。

RabbitMQ rabbit | w_freq: 7 - 3 | wiki_freq: 31 - 31 | sentence_idx: 59129 | align_1: 0-0 | align_2: 1-12 | ner_entity: none-rabbit |    RabbitMQ : Who Creates the Queues and Exchanges ? ||| rabbit mq 生产者 创建 队列 还是 消费者 创建 队列 --- RABB ITMQ : WHO CREATES THE QU EUES AND EXCHANGES ?

AAPL AAPL | w_freq: 6 - 4 | wiki_freq: 71 - 3 | sentence_idx: 86409 | align_1: 3-3 | align_2: 4-7 | ner_entity: AAPL-AAPL - Get Report |    Apple Inc. ( AAPL ) had also expressed interest in the company , but he added that the discussions never got particularly serious . ||| Apple Inc. （ AAPL - Get Report ） 也 对 该 公司 表示 了 兴趣 ， 但 他 补充 说 ， 讨论 从未 如此 严重 。

Ake Ake | w_freq: 2 - 1 | wiki_freq: 546 - 9 | sentence_idx: 103725 | align_1: 1-1 | align_2: 2-5 | ner_entity: Ake-none |    To Ake : I am waiting for you in front of the cave . ||| To Ake （ 教练 ） ： 我 在 山洞 前 等 你 。

Houston- Houston | w_freq: 1 - 14 | wiki_freq: 3 - 182 | sentence_idx: 103993 | align_1: 1-6 | align_2: 2-11 | ner_entity: Whitney Houston--none |    Whitney Houston- Why Does It Hurt so Bad ||| 牧羊人 --西洋 女 歌手 / Whitney Houston 惠妮 休斯顿 单曲 -- Why Does It Hurt So Bad

R$E R$E | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 105979 | align_1: 9-9 | align_2: 10-22 | ner_entity: R$E-none |    The Pope has a SHOCKING plan for 2018 ( R$E ) ||| The Pope has a SHOCKING plan for 2016 ( R$E ) 教皇 2016年 有 一个 令 人 震惊 的 计划 （ R$E ）

ganas gana | w_freq: 1 - 1 | wiki_freq: 103 - 0 | sentence_idx: 112588 | align_1: 3-4 | align_2: 4-11 | ner_entity: none-gana |    Shiva sent two ganas to the city to see how to get rid of this king . ||| Shiva派 了 两 个 gana （ 他 的 怪物 朋友 ） 到 城里 ， 看看 如何 摆脱 这个 国王 。

Colorcon 卡乐康 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 126336 | align_1: 5-3 | align_2: 6-11 | ner_entity: Colorcon-卡乐康 |    As you learn more about Colorcon you will begin to see the impact these have on our culture . ||| 当 您 对 卡乐康 有 了 更 多 了解 后 ， 您 将 会 看到 这些 原则 对 我们 的 企业 文化 所 产生 的 影响 。

Finne Finne | w_freq: 2 - 2 | wiki_freq: 166 - 0 | sentence_idx: 128531 | align_1: 19-21 | align_2: 20-26 | ner_entity: Eva Finne-none |    In Sweden I am not charged , I have already been previously cleared by the Senior Stockholm Prosecutor Eva Finne . ||| 在 瑞典 ， 我 没有 被 正式 起诉 ， 我 之前 已经 被 ［ 斯德哥尔摩 高级 检察官 夏娃‧ 芬尼 （ Eva Finne ） ］ 消除 嫌疑 。

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 128657 | align_1: 1-2 | align_2: 2-6 | ner_entity: NEW YORK-N EW YORK |    NEW YORK — It happens a few times a year : A customer refuses to work with Dave Greenbaum because he 's gay . ||| N EW YORK （ 美联社 ） - 它 每年 发生 几 次 ： 客户 拒绝 与 Dave Greenbaum 合作 ， 因为 他 是 同性恋 。

Sadhguru Sadhguru | w_freq: 17 - 11 | wiki_freq: 43 - 0 | sentence_idx: 132316 | align_1: 9-8 | align_2: 10-13 | ner_entity: Sadhguru-none |    Transformation and leadership can not be separated , says Sadhguru , as every action of a leader has the power to directly or indirectly transform the lives of many people . ||| 转化 和 领导力 是 无法 分开 的 ， Sadhguru （ 萨古鲁 ） 说 ， 因为 一个 领导者 的 每个 行动 都 具有 直接 或 间接 转化 他人 生命 的 力量 。

alif 艾列弗 | w_freq: 1 - 2 | wiki_freq: 173 - 0 | sentence_idx: 136905 | align_1: 2-1 | align_2: 3-7 | ner_entity: none-艾列弗 |    Alif by alif , ||| . 艾列弗 ， 俩 目 ， 米目 。

Buys Buys | w_freq: 3 - 2 | wiki_freq: 490 - 4 | sentence_idx: 142673 | align_1: 0-0 | align_2: 1-4 | ner_entity: Buys-none |    Buys and her partner successfully operated their store for nearly 20 years , but when they sold it in 2000 she was ready for a change . ||| Buys （ 拜斯 ） 和 合作 伙伴 将 他们 的 店 成功 地 经营 了 近 20 年 ， 但是 ， 当 他们 在 2000 年 把 它 卖掉 时 ， 她 已经 准备 做 一番 改变 了 。

