Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?

Penny Penny | w_freq: 50 - 111 | wiki_freq: 14299 - 2199 | sentence_idx: 8365 | align_1: 8-8 | align_2: 9-12 | ner_entity: Penny-Penny |    ‘ I ’m really close with her mum Penny , but that ’s it . ||| „ Ich bin wirklich nah mit ihrer Mutter Penny [ Adkins ] , aber das ist es .

Saqar Saqar | w_freq: 6 - 7 | wiki_freq: 30 - 1 | sentence_idx: 10297 | align_1: 7-8 | align_2: 8-17 | ner_entity: Saqar-Saqar |    And what can let you know What Saqar is ? ||| „ Und wie kannst du wissen , was Saqar ( ein anderer Name für die Hölle ) ist ?

Xiongnu-Qiang Xiongnu-Qiang | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 16066 | align_1: 4-4 | align_2: 5-9 | ner_entity: Xiongnu-Qiang-Xiongnu-Qiang |    They repelled a joint Xiongnu-Qiang invasion of this northwestern territory in 111 BCE . ||| Sie trieben einen gemeinsamen Xiongnu-Qiang ( Qiang Leute ) Invasion dieses nordwestlichen Territoriums in 111 BCE zurück .

L’Informale L'Informale | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 17048 | align_1: 5-4 | align_2: 6-9 | ner_entity: L’Informale-none |    Q : It seems to L’Informale that these changes swept away old paradigms , changing the landscape of the Arab-Israeli conflict and offering Israel its best opportunity . ||| F : Es scheint L'Informale so zu sein , dass diese Veränderungen alte Paradigmen wegfegten , was die Landschaft des arabisch-israelischen Konflikts verändert und Israel seine günstigste Gelegenheit bietet .

Terrors Terror | w_freq: 4 - 276 | wiki_freq: 543 - 4817 | sentence_idx: 17902 | align_1: 1-1 | align_2: 2-6 | ner_entity: New Terrors-Neuer Terror |    New Terrors ( Published in US as two separate volumes , New Terrors 1 and New Terrors 2 ) ( 1980 ) ||| Neuer Terror ( Neuer Terror ) ( Veröffentlicht in den Vereinigten Staaten als zwei getrennte Volumina , Neuer Terror 1 und Neuer Terror 2 ) ( 1980 )

Goldman Goldman | w_freq: 68 - 65 | wiki_freq: 13785 - 1956 | sentence_idx: 21234 | align_1: 10-8 | align_2: 11-13 | ner_entity: Emma Goldman-Emma Goldman |    Discussion groups organised by the Villagers were frequented by Emma Goldman , among others . ||| Von den Dorfbewohnern organisierte Diskussionsgruppen wurden von Emma Goldman ( Emma Goldman ) , unter anderen oft besucht .

Spezia Spezia | w_freq: 4 - 5 | wiki_freq: 2733 - 1494 | sentence_idx: 22802 | align_1: 13-11 | align_2: 14-16 | ner_entity: La Spezia-La Spezia |    In July 1897 , he carried out a series of tests at La Spezia in his home country , for the Italian government . ||| Im Juli 1897 führte er eine Reihe von Tests an La Spezia ( La Spezia ) in seinem Heimatland für die italienische Regierung aus .

